protocol,task,pool,target,ablation,fold,fold_id,r2,rmse,mae,pearson,n_bins,mean_trial_r2,median_trial_r2,n_trials
cv,trial_repeat,mean,paw_vy,a1,0,rep0,-0.0360464221066936,380.7020263671875,224.97776794433597,0.0852986246159942,2608,-1.1565944372896224,-0.1611411396676927,113
cv,trial_repeat,attn,paw_vy,a1,0,rep0,-0.0008862250641095,374.1863403320313,216.22457885742188,0.1198423538592538,2608,-0.8898882626248318,-0.0642740700583319,113
cv,trial_repeat,mean,paw_vy,a1,1,rep1,0.0408497499738619,390.6930236816406,226.08966064453125,0.2043661381386212,1558,-3.3556162038066346,-0.0592447118927994,69
cv,trial_repeat,attn,paw_vy,a1,1,rep1,0.0070584557723921,397.5155944824219,232.3016662597656,0.1449454201007528,1558,-9.192541101822847,-0.0748698303199115,69
cv,trial_repeat,mean,paw_vy,a1,2,rep2,0.0722473853877302,420.6308898925781,246.221435546875,0.2829362289860814,872,-0.0773733716213113,0.0395909130673098,40
cv,trial_repeat,attn,paw_vy,a1,2,rep2,0.1170306979282038,410.3532409667969,238.46630859375,0.3596200597944241,872,0.0066300050982299,0.0433868308441158,40
cv,trial_repeat,mean,paw_vy,a1,3,rep3,0.0206293964496346,456.7212219238281,235.92562866210935,0.1528880476115234,1899,-0.5352779513324917,-0.0248738988159027,74
cv,trial_repeat,attn,paw_vy,a1,3,rep3,0.0011382865136568,461.2435607910156,230.40464782714844,0.106062053962106,1899,-0.2055169631088084,-0.0374400001591755,74
cv,trial_repeat,mean,paw_vy,a1,4,rep4,0.0143159681209334,396.7528076171875,234.69110107421875,0.1375704605074048,1080,-0.4539559253276238,-0.116912777771696,46
cv,trial_repeat,attn,paw_vy,a1,4,rep4,0.0132741956623833,396.9624328613281,240.6889190673828,0.1335135027874451,1080,-0.7865220217441637,-0.082705052816977,46
cv,trial_extrapolation,mean,paw_vy,a1,0,3063955,-0.0004061007143456,222.43321228027344,108.3380889892578,0.0413624356091631,490,-0.0793270460615176,-0.0196519764441779,8
cv,trial_extrapolation,attn,paw_vy,a1,0,3063955,0.0007092579055156,222.3091735839844,116.02091979980467,0.0429136421941763,490,-0.0580850696216112,-0.0376981759532215,8
