task,pool,target,ablation,n_folds,r2_mean,r2_std,r2_median,mean_trial_r2_mean,mean_trial_r2_std,mean_trial_r2_median,median_trial_r2_mean,median_trial_r2_std,median_trial_r2_median,rmse_mean,rmse_std,rmse_median,mae_mean,mae_std,mae_median,pearson_mean,pearson_std,pearson_median
mouse_lomo,attn,paw_vy,a1,32,0.011109826514694486,0.07735576145018919,0.026490748996686,-4.016457646020029,17.19182382253151,-0.15393399867866545,-0.0630484549091049,0.12440368372421652,-0.057933535769888855,417.96561431884766,110.15446927357152,408.27745056152344,232.77548456192017,64.09780396439969,230.0230941772461,0.1747156494827542,0.15710879649689763,0.19033027912751177
mouse_lomo,mean,paw_vy,a1,32,0.0067712289053236735,0.0686671276002566,0.0086931405555793,-4.375647648330003,20.065438455808806,-0.18388038506402185,-0.06860086152702533,0.10883730234255537,-0.0604706336503906,418.8131685256958,109.15263088827973,410.27447509765625,234.6452329158783,64.81023264883328,230.74281311035156,0.16910604155047126,0.13828635077357015,0.1746231070481806
session_loso,attn,paw_vy,a1,52,0.009531731134952726,0.11139603475690513,0.0234546334995306,-4.797505061006083,27.921507767267396,-0.1711465803260211,-0.13070368412611863,0.5618643145176072,-0.0531963047144301,417.2292835529034,132.38428274374533,405.7821960449219,234.81883855966421,79.39408908564461,227.85554504394528,0.18479058687181832,0.16735582945750613,0.2046423347646919
session_loso,mean,paw_vy,a1,52,0.009824330674594714,0.10611118357126349,0.0238125159909041,-4.1844596803458876,23.38664454107951,-0.13545222206588392,-0.08879871373014464,0.2797379469248943,-0.04072847815915045,416.9046170161321,130.68246987684088,408.7916564941406,234.3959686572735,78.86512175575527,223.72081756591797,0.19283000306307774,0.14830662834450048,0.20779987412775597
trial_extrapolation,attn,paw_vy,a1,50,-0.07032929085469868,0.23056768246051723,-0.009636219593250249,-1.1061820493946282,3.9172838188397963,-0.18631339459151786,-0.12486851368776161,0.2352472644394789,-0.0527710830366454,346.989382019043,102.94988854444436,340.4124450683594,216.7649066925049,81.72215835279778,205.05267333984375,0.1565298530859388,0.14848498138065908,0.11004698324061275
trial_extrapolation,mean,paw_vy,a1,50,-0.06369551882830267,0.17579684414292543,-0.00775041040802955,-1.073605822417193,4.132459296452358,-0.1902646298272243,-0.09911074601856583,0.19882273181200052,-0.05854656173759515,346.6966543579102,102.19689452521169,342.4478302001953,217.2736319732666,80.29220365503889,209.71961975097656,0.1410967241366259,0.13837471610889782,0.1074190810646317
trial_repeat,attn,paw_vy,a1,5,0.027523082162505298,0.0503405680300885,0.0070584557723921,-2.2135676688404837,3.9197003066485183,-0.7865220217441637,-0.043180424502056024,0.0513278645990188,-0.0642740700583319,408.05223388671874,32.463499096672805,397.5155944824219,231.61722412109376,9.592678690480248,232.3016662597656,0.17279667810079635,0.1054508260957899,0.1335135027874451
trial_repeat,mean,paw_vy,a1,5,0.022399215565093302,0.039716577037939585,0.0206293964496346,-1.1157635778755366,1.3107072610817483,-0.5352779513324917,-0.0645163230161562,0.07829331380957706,-0.0592447118927994,409.09999389648436,30.407470474399062,396.7528076171875,233.58111877441405,8.611706942365299,234.69110107421875,0.172611899971925,0.07486709908069139,0.1528880476115234
