task,pool,target,ablation,n_folds,r2_mean,r2_std,r2_median,mean_trial_r2_mean,mean_trial_r2_std,mean_trial_r2_median,median_trial_r2_mean,median_trial_r2_std,median_trial_r2_median,rmse_mean,rmse_std,rmse_median,mae_mean,mae_std,mae_median,pearson_mean,pearson_std,pearson_median
mouse_lomo,attn,paw_vy,none,32,0.0036298857206896943,0.0411680383321761,0.0060572606271728,-0.6215406754919243,1.261321816001263,-0.22560715873678625,-0.08464361300324302,0.09449463122104328,-0.08425942998943114,419.39042615890503,107.46638793132607,409.4404296875,235.708970785141,64.57522373485905,228.5137939453125,0.15759478946154848,0.11773782476207169,0.15778366239622266
mouse_lomo,mean,paw_vy,none,32,-0.018967692632018897,0.07904874746838228,-0.00243922006557605,-1.6028876037715654,3.8861212266461242,-0.2165730640628295,-0.1028289242926348,0.11602783617002342,-0.086289558810556,423.2096939086914,106.39187705589407,413.0171661376953,240.15163683891296,68.7777247513256,235.62213897705078,0.15308254881624425,0.11432660093197547,0.15836041343102086
session_loso,attn,paw_vy,none,52,0.0033012016356031774,0.06267380375712575,0.0059685129615781995,-1.088201444151043,2.743455330792674,-0.20792915625170272,-0.09433896080188268,0.1207784188085901,-0.0834016646535868,418.369992182805,127.52458815933792,403.01086425781256,239.02751086308405,80.0194697672726,230.25738525390625,0.176195928003578,0.13244588709330282,0.18658690681276152
session_loso,mean,paw_vy,none,52,-0.020230267959760854,0.1073243992582136,-0.0013827362075329,-1.9549819293555974,6.204504353002572,-0.21626997094893197,-0.11943310407704638,0.21987928937951787,-0.08021189085169325,422.3212981590858,127.52261470255438,406.7285919189453,241.9088250673734,81.0309498238308,229.90985107421875,0.15786409631684256,0.1551569114882251,0.19058962736723634
trial_extrapolation,attn,paw_vy,none,50,-0.0773108847110891,0.18812475655564959,-0.017701128557303103,-1.091872904351763,3.957765316496873,-0.21693979300884095,-0.13997644720144842,0.2635131901067298,-0.06550468889248665,348.48219787597657,101.70283149771959,342.0602569580078,219.58599380493163,78.67368229777959,209.69243621826172,0.12772599540023016,0.13460900189702302,0.09598788933356844
trial_extrapolation,mean,paw_vy,none,50,-0.0703315069716317,0.1685853439288568,-0.008639297478542701,-0.9788916188358279,3.2385617423654107,-0.2301736834239402,-0.12234421236599877,0.22178554625123242,-0.06594891008964371,347.5106161499023,100.95605319034365,339.80279541015625,219.6321078491211,78.18411908422198,212.1012420654297,0.14015337731693028,0.13645343206137855,0.0949163075052448
trial_repeat,attn,paw_vy,none,5,0.05340331863826342,0.04826856961240666,0.0427855170897977,-0.6301925488406426,0.6251304300425251,-0.4183178967660135,-0.036209382905297696,0.047420141189416766,-0.0357500912354977,402.5981750488281,32.11381886308984,390.9811096191406,231.97479553222655,8.826616108135475,236.36489868164065,0.23597217287496547,0.09342236431339704,0.2205682982151055
trial_repeat,mean,paw_vy,none,5,0.03076608394424536,0.030341742189897252,0.0319943683993857,-0.607435864954611,0.6555245270489096,-0.442990399959398,-0.04087187933769358,0.021920399441984456,-0.0448722120517797,407.6770935058594,34.820293488580496,392.4924011230469,232.01538696289063,10.642617283706139,235.0839691162109,0.17907970667676937,0.07158135969862173,0.1795419170405765
