task,model,target,r2,rmse,mae,pearson,n_bins,median_trial_r2,n_trials
trial_holdout,cnn,wheel_speed,0.24618087802019817,0.9354549646377563,0.7574875950813293,0.5091304647438379,566,-0.18781046922931122,24
trial_holdout,cnn,paw_speed,0.21097665508120567,600.0277709960938,409.8609313964844,0.4718871815212899,566,-0.15768024108117062,24
trial_holdout,gru,wheel_speed,0.2320574852320294,0.9441774487495422,0.7803543210029602,0.4962908790980637,566,-0.24462666761262086,24
trial_holdout,gru,paw_speed,0.07451709750641133,649.8462524414062,424.0075988769531,0.2835041801880834,566,-0.14305900325343213,24
trial_holdout,lstm,wheel_speed,0.024311566318741096,1.0642529726028442,0.9123445749282837,0.23444234775084477,566,-0.2148749928696997,24
trial_holdout,lstm,paw_speed,0.03941431170070164,662.0556640625,452.07415771484375,0.2519271517795331,566,-0.03239964046260002,24
trial_holdout,cnn_gru,wheel_speed,0.2805437006003326,0.9138848781585693,0.7556770443916321,0.5604619679494766,566,-0.11687266893976223,24
trial_holdout,cnn_gru,paw_speed,0.09985307096160811,640.8894653320312,433.94720458984375,0.3179431742485759,566,-0.12041127802788865,24
trial_holdout,transformer,wheel_speed,0.2012985571644268,0.9629007577896118,0.8134424090385437,0.49349026651230854,566,-0.24281872981597308,24
trial_holdout,transformer,paw_speed,0.05082941454058043,658.1101684570312,443.18206787109375,0.2266075033235555,566,-0.1060452242782014,24
trial_holdout,ridge,wheel_speed,0.062040537732985235,1.043473243713379,0.8942062854766846,0.2938328888280288,566,-0.048691690422334566,24
trial_holdout,ridge,paw_speed,0.11375120180443177,635.922607421875,444.0985412597656,0.3826642480488067,566,-0.13612755214543582,24
session_holdout,cnn,wheel_speed,0.2925662892306722,1.002776026725769,0.8357993364334106,0.6013483415878665,2324,-0.22979836959035138,84
session_holdout,cnn,paw_speed,-0.08735989046894743,493.04608154296875,391.747802734375,0.4363863174895197,2324,-1.3806844448714164,84
session_holdout,gru,wheel_speed,0.21431806494902794,1.0567796230316162,0.879549503326416,0.5036739028599321,2324,-0.2454596875391738,84
session_holdout,gru,paw_speed,-0.10763529448214326,497.62164306640625,388.3099060058594,0.3572601956875269,2324,-1.258976753034373,84
session_holdout,lstm,wheel_speed,0.11065996463258965,1.1243330240249634,0.9645756483078003,0.4778630816548715,2324,-0.14231242917118858,84
session_holdout,lstm,paw_speed,-0.13851137961001103,504.509765625,397.3771057128906,0.3565728483006094,2324,-0.8865237117724297,84
session_holdout,cnn_gru,wheel_speed,0.3096806474959881,0.9905720949172974,0.8198797702789307,0.5909903537463914,2324,-0.32654688328884973,84
session_holdout,cnn_gru,paw_speed,-0.1511349347874038,507.2989807128906,404.4155578613281,0.4074598319854366,2324,-1.5649242747703005,84
session_holdout,transformer,wheel_speed,0.28030988660893885,1.011425256729126,0.8284804224967957,0.580712414727308,2324,-0.2680665945231909,84
session_holdout,transformer,paw_speed,-0.06999999011234936,489.0944519042969,384.8507995605469,0.40824913173219124,2324,-1.3053998907241235,84
session_holdout,ridge,wheel_speed,0.09321385708701857,1.1353074312210083,0.9627856016159058,0.4956829155121225,2324,-0.12930309225448877,84
session_holdout,ridge,paw_speed,-0.03221954271655325,480.3822021484375,372.3674011230469,0.4970378581174007,2324,-0.514582226361963,84
mouse_holdout,cnn,wheel_speed,-0.08588463867801521,1.0448884963989258,0.8164508938789368,0.14557701319559438,4723,-0.6695671258967504,213
mouse_holdout,cnn,paw_speed,0.02271231939933216,634.7450561523438,461.30108642578125,0.20633765284705072,4723,-0.34395931937414104,213
mouse_holdout,gru,wheel_speed,-0.14156522891609336,1.0713428258895874,0.8324825167655945,0.09903005237876435,4723,-0.48683186152825586,213
mouse_holdout,gru,paw_speed,-0.007650723182653474,644.5299682617188,456.2477111816406,0.17335884800579118,4723,-0.3231801310814688,213
mouse_holdout,lstm,wheel_speed,-0.030140817420685417,1.0177154541015625,0.8298150897026062,0.10149309310526318,4723,-0.32488836144248023,213
mouse_holdout,lstm,paw_speed,0.010021726616663451,638.85302734375,458.9476013183594,0.16823712644938862,4723,-0.18870131351518626,213
mouse_holdout,cnn_gru,wheel_speed,-0.13906012365199882,1.0701665878295898,0.8274441957473755,0.13915215519121074,4723,-0.714150718739945,213
mouse_holdout,cnn_gru,paw_speed,0.022625663873671154,634.773193359375,456.0124816894531,0.2131532764792945,4723,-0.3262105575309828,213
mouse_holdout,transformer,wheel_speed,-0.08142737417059132,1.0427417755126953,0.8289662599563599,0.125773162762129,4723,-0.5531299334327455,213
mouse_holdout,transformer,paw_speed,0.02361439490473982,634.4520263671875,470.5898132324219,0.19731003665597685,4723,-0.2932710051892933,213
mouse_holdout,ridge,wheel_speed,-0.05388022854414465,1.0293753147125244,0.8249406814575195,0.12425559181622688,4723,-0.2490621178434691,213
mouse_holdout,ridge,paw_speed,-0.04274612216402773,655.6580200195312,458.4511413574219,0.09531493735295535,4723,-0.266114963805004,213
