subject,dataset_mouse_id,lab,n_sessions_mouse,n_probes_mouse,n_good_units_mouse,date,session_number,eid,n_probes_session,n_good_units_session,probe_name,pid,n_good_units,probe_regions_with_good_units,probe_region_good_unit_counts,n_regions_probe,session_regions_with_good_units,session_region_good_unit_counts,n_regions_session,raw_lfp_available_session,raw_lfp_available_probe,raw_lfp_probes,dlc_available,dlc_views,lightning_pose_available,lightning_pose_views,pose_keypoints_available,n_trials_total,n_trials_bwm_include,n_trials_excluded_from_bwm,bwm_trial_inclusion_fraction
NYU-30,sub-NYU-30,angelakilab,3,4,398,2020-10-20,1,77e6dc6a-66ed-433c-b1a2-778c914f523c,1,95,probe00,7b05cccc-44f6-4491-a0ea-e38d6e95513d,95,"Isocortex, OLF, CTXsp",Isocortex:40; OLF:29; CTXsp:22,3,"Isocortex, OLF, CTXsp",Isocortex:40; OLF:29; CTXsp:22,3,True,True,probe00,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,784,594,190,0.757653
NYU-30,sub-NYU-30,angelakilab,3,4,398,2020-10-21,1,5569f363-0934-464e-9a5b-77c8e67791a1,1,105,probe00,99993a2b-588e-4c0c-bfec-e3dfb4f61534,105,"Isocortex, OLF",Isocortex:53; OLF:52,2,"Isocortex, OLF",Isocortex:53; OLF:52,2,True,True,probe00,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,717,513,204,0.715481
NYU-30,sub-NYU-30,angelakilab,3,4,398,2020-10-22,1,5ec72172-3901-4771-8777-6e9490ca51fc,2,198,probe00,298e2a70-9801-45f0-b91c-d6bb9718427e,183,"Isocortex, OLF",Isocortex:128; OLF:55,2,"Isocortex, OLF, CNU",Isocortex:128; OLF:55; CNU:14,3,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,933,694,239,0.743837
NYU-30,sub-NYU-30,angelakilab,3,4,398,2020-10-22,1,5ec72172-3901-4771-8777-6e9490ca51fc,2,198,probe01,9dff5593-e781-41a3-a6f9-20d06085e4f8,15,CNU,CNU:14,1,"Isocortex, OLF, CNU",Isocortex:128; OLF:55; CNU:14,3,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,933,694,239,0.743837
NYU-37,sub-NYU-37,angelakilab,5,9,1278,2021-01-25,1,7af49c00-63dd-4fed-b2e0-1b3bd945b20b,2,260,probe00,f93bfce4-e814-4ae3-9cdf-59f4dcdedf51,149,"TH, HPF, MB",TH:111; HPF:22; MB:16,3,"TH, CNU, Isocortex, HPF, MB",TH:111; CNU:58; Isocortex:51; HPF:22; MB:16,5,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,414,321,93,0.775362
NYU-37,sub-NYU-37,angelakilab,5,9,1278,2021-01-25,1,7af49c00-63dd-4fed-b2e0-1b3bd945b20b,2,260,probe01,c4b5a9fa-10cb-4195-9c17-15b6a1f77f9a,111,"CNU, Isocortex",CNU:58; Isocortex:51,2,"TH, CNU, Isocortex, HPF, MB",TH:111; CNU:58; Isocortex:51; HPF:22; MB:16,5,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,414,321,93,0.775362
NYU-37,sub-NYU-37,angelakilab,5,9,1278,2021-01-26,1,f88d4dd4-ccd7-400e-9035-fa00be3bcfa8,2,288,probe00,511afaa5-fdc4-4166-b4c0-4629ec5e652e,194,CB,CB:191,1,"CB, Isocortex, CNU",CB:191; Isocortex:54; CNU:35,3,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,401,228,173,0.568579
NYU-37,sub-NYU-37,angelakilab,5,9,1278,2021-01-26,1,f88d4dd4-ccd7-400e-9035-fa00be3bcfa8,2,288,probe01,decc8d40-cf74-4263-ae9d-a0cc68b47e86,94,"Isocortex, CNU",Isocortex:54; CNU:35,2,"CB, Isocortex, CNU",CB:191; Isocortex:54; CNU:35,3,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,401,228,173,0.568579
NYU-37,sub-NYU-37,angelakilab,5,9,1278,2021-01-27,1,83d85891-bd75-4557-91b4-1cbb5f8bfc9d,2,230,probe00,16ad5eef-3fa6-4c75-9296-29bf40c5cfaa,205,CB,CB:179,1,"CB, TH, HY",CB:179; TH:23; HY:2,3,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,443,260,183,0.586907
NYU-37,sub-NYU-37,angelakilab,5,9,1278,2021-01-27,1,83d85891-bd75-4557-91b4-1cbb5f8bfc9d,2,230,probe01,66f810a8-b18d-4b54-9f28-2964dfceccad,25,"TH, HY",TH:23; HY:2,2,"CB, TH, HY",CB:179; TH:23; HY:2,3,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,443,260,183,0.586907
