subject,dataset_mouse_id,lab,n_sessions_mouse,n_probes_mouse,n_good_units_mouse,date,session_number,eid,n_probes_session,n_good_units_session,probe_name,pid,n_good_units,probe_regions_with_good_units,probe_region_good_unit_counts,n_regions_probe,session_regions_with_good_units,session_region_good_unit_counts,n_regions_session,raw_lfp_available_session,raw_lfp_available_probe,raw_lfp_probes,dlc_available,dlc_views,lightning_pose_available,lightning_pose_views,pose_keypoints_available,n_trials_total,n_trials_bwm_include,n_trials_excluded_from_bwm,bwm_trial_inclusion_fraction
MFD_08,sub-MFD_08,churchlandlab_ucla,2,2,436,2023-09-08,1,a7eba2cf-427f-4df9-879b-e53e962eae18,1,302,probe00,a759e857-fd8f-4653-a397-c48547230427,302,"HB, CB",HB:168; CB:107,2,"HB, CB",HB:168; CB:107,2,True,True,probe00,True,"left, right",True,"left, right",DLC + Lightning Pose,789,286,503,0.362484
MFD_09,sub-MFD_09,churchlandlab_ucla,1,1,291,2023-10-19,1,ebce500b-c530-47de-8cb1-963c552703ea,1,291,probe00,8c732bf2-639d-496c-bf82-464bc9c2d54b,291,"TH, Isocortex, HPF",TH:205; Isocortex:64; HPF:13,3,"TH, Isocortex, HPF",TH:205; Isocortex:64; HPF:13,3,True,True,probe00,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,569,403,166,0.70826
UCLA005,sub-UCLA005,churchlandlab_ucla,1,1,53,2021-08-02,1,d57df551-6dcb-4242-9c72-b806cff5613a,1,53,probe00,e42e948c-3154-45cb-bf52-408b7cda0f2f,53,"MB, HPF",MB:37; HPF:14,2,"MB, HPF",MB:37; HPF:14,2,True,True,probe00,True,"left, right",True,"left, right",DLC + Lightning Pose,772,577,195,0.747409
UCLA006,sub-UCLA006,churchlandlab_ucla,1,1,314,2021-12-08,1,19e66dc9-bf9f-430b-9d6a-acfa85de6fb7,1,314,probe00,f967a527-257f-404a-871d-b91575dca3b4,314,"TH, Isocortex, HPF",TH:223; Isocortex:75; HPF:13,3,"TH, Isocortex, HPF",TH:223; Isocortex:75; HPF:13,3,True,True,probe00,True,"left, right",True,"left, right",DLC + Lightning Pose,748,415,333,0.554813
UCLA011,sub-UCLA011,churchlandlab_ucla,1,1,62,2021-07-20,1,824cf03d-4012-4ab1-b499-c83a92c5589e,1,62,probe00,c07d13ed-e387-4457-8e33-1d16aed3fd92,62,"TH, HPF, Isocortex, HY",TH:46; HPF:12; Isocortex:3; HY:1,4,"TH, HPF, Isocortex, HY",TH:46; HPF:12; Isocortex:3; HY:1,4,True,True,probe00,True,"left, right",True,"left, right",DLC + Lightning Pose,764,573,191,0.75
UCLA012,sub-UCLA012,churchlandlab_ucla,1,1,98,2021-07-07,2,1f095590-6669-46c9-986b-ccaf0620c5e9,1,98,probe01,ad256265-03f2-4b4e-954b-0ba0c5cf6707,98,TH,TH:98,1,TH,TH:98,1,True,True,probe01,True,"left, right",True,"left, right",DLC + Lightning Pose,719,579,140,0.805285
UCLA014,sub-UCLA014,churchlandlab_ucla,1,1,99,2021-08-18,1,03d9a098-07bf-4765-88b7-85f8d8f620cc,1,99,probe00,94e948c1-f7be-4868-893a-f7cd2df3313e,99,"MB, HPF",MB:90; HPF:5,2,"MB, HPF",MB:90; HPF:5,2,True,True,probe00,True,"left, right",True,"left, right",DLC + Lightning Pose,581,372,209,0.640275
UCLA015,sub-UCLA015,churchlandlab_ucla,1,1,133,2022-03-31,1,0c828385-6dd6-4842-a702-c5075f5f5e81,1,133,probe00,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,133,"MB, TH, Isocortex, HPF",MB:61; TH:29; Isocortex:24; HPF:17,4,"MB, TH, Isocortex, HPF",MB:61; TH:29; Isocortex:24; HPF:17,4,True,True,probe00,True,right,True,"left, right",DLC + Lightning Pose,610,472,138,0.77377
UCLA017,sub-UCLA017,churchlandlab_ucla,1,1,257,2021-11-16,2,bb099402-fb31-4cfd-824e-1c97530a0875,1,257,probe00,b83407f8-8220-46f9-9b90-a4c9f150c572,257,"MB, Isocortex, HPF",MB:139; Isocortex:49; HPF:27,3,"MB, Isocortex, HPF",MB:139; Isocortex:49; HPF:27,3,True,True,probe00,True,"left, right",True,"left, right",DLC + Lightning Pose,665,456,209,0.685714
UCLA030,sub-UCLA030,churchlandlab_ucla,1,1,343,2022-05-03,1,7f5df7eb-cf36-4589-a20a-14b535441142,1,343,probe00,0c15a331-09ac-445c-837f-6afb5e377e56,343,Isocortex,Isocortex:343,1,Isocortex,Isocortex:343,1,True,True,probe00,True,"left, right",True,"left, right",DLC + Lightning Pose,505,356,149,0.70495
UCLA033,sub-UCLA033,churchlandlab_ucla,3,4,584,2022-02-15,1,111c1762-7908-47e0-9f40-2f2ee55b6505,2,358,probe00,27bac116-ea57-4512-ad35-714a62d259cd,138,"MB, Isocortex, HPF",MB:67; Isocortex:32; HPF:30,3,"MB, HPF, Isocortex",MB:164; HPF:105; Isocortex:72,3,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,724,364,360,0.502762
UCLA033,sub-UCLA033,churchlandlab_ucla,3,4,584,2022-02-15,1,111c1762-7908-47e0-9f40-2f2ee55b6505,2,358,probe01,eebcaf65-7fa4-4118-869d-a084e84530e2,220,"MB, HPF, Isocortex",MB:97; HPF:75; Isocortex:40,3,"MB, HPF, Isocortex",MB:164; HPF:105; Isocortex:72,3,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,724,364,360,0.502762
UCLA033,sub-UCLA033,churchlandlab_ucla,3,4,584,2022-02-17,1,5455a21c-1be7-4cae-ae8e-8853a8d5f55e,1,67,probe00,e96cbd77-5fdf-4a35-81f4-4a6361bded65,67,"Isocortex, HPF",Isocortex:49; HPF:10,2,"Isocortex, HPF",Isocortex:49; HPF:10,2,True,True,probe00,True,"left, right",True,"left, right",DLC + Lightning Pose,634,364,270,0.574132
UCLA033,sub-UCLA033,churchlandlab_ucla,3,4,584,2022-02-24,1,32d27583-56aa-4510-bc03-669036edad20,1,159,probe00,2e720cee-05cc-440e-a24b-13794b1ac01d,159,"HB, CB, MB",HB:144; CB:11; MB:2,3,"HB, CB, MB",HB:144; CB:11; MB:2,3,True,True,probe00,True,"left, right",True,"left, right",DLC + Lightning Pose,785,521,264,0.663694
UCLA034,sub-UCLA034,churchlandlab_ucla,4,6,1193,2022-01-25,1,8a3a0197-b40a-449f-be55-c00b23253bbf,2,373,probe00,f9d8aacd-b2a0-49f2-bd71-c2f5aadcfdd1,166,"MB, TH, Isocortex, HPF",MB:58; TH:38; Isocortex:33; HPF:30,4,"MB, HPF, TH, Isocortex",MB:241; HPF:53; TH:38; Isocortex:33,4,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,417,290,127,0.695444
UCLA034,sub-UCLA034,churchlandlab_ucla,4,6,1193,2022-01-25,1,8a3a0197-b40a-449f-be55-c00b23253bbf,2,373,probe01,a94a0023-d461-49fa-8cc6-032237039c27,207,"MB, HPF",MB:183; HPF:23,2,"MB, HPF, TH, Isocortex",MB:241; HPF:53; TH:38; Isocortex:33,4,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,417,290,127,0.695444
UCLA034,sub-UCLA034,churchlandlab_ucla,4,6,1193,2022-01-26,1,ebc9392c-1ecb-4b4b-a545-4e3d70d23611,1,281,probe00,6358854e-51d2-47de-a278-5cbfd155feb6,281,"CNU, Isocortex",CNU:185; Isocortex:74,2,"CNU, Isocortex",CNU:185; Isocortex:74,2,True,True,probe00,True,"left, right",True,"left, right",DLC + Lightning Pose,496,326,170,0.657258
UCLA034,sub-UCLA034,churchlandlab_ucla,4,6,1193,2022-01-27,1,19b44992-d527-4a12-8bda-aa11379cb08c,2,293,probe00,c872ca65-8319-4901-856e-7dc507e2dd9c,61,"CNU, OLF",CNU:33; OLF:1,2,"MB, HB, CNU, OLF",MB:147; HB:59; CNU:33; OLF:1,4,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,436,292,144,0.669725
UCLA034,sub-UCLA034,churchlandlab_ucla,4,6,1193,2022-01-27,1,19b44992-d527-4a12-8bda-aa11379cb08c,2,293,probe01,f083fcd5-e456-433d-8aa5-6ace0a7ac170,232,"MB, HB",MB:147; HB:59,2,"MB, HB, CNU, OLF",MB:147; HB:59; CNU:33; OLF:1,4,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,436,292,144,0.669725
UCLA034,sub-UCLA034,churchlandlab_ucla,4,6,1193,2022-01-28,1,3537d970-f515-4786-853f-23de525e110f,1,246,probe00,501ab543-9d02-4085-956d-22b9b3eeb543,246,"TH, Isocortex, HPF, HY",TH:131; Isocortex:52; HPF:35; HY:25,4,"TH, Isocortex, HPF, HY",TH:131; Isocortex:52; HPF:35; HY:25,4,True,True,probe00,True,"left, right",True,"left, right",DLC + Lightning Pose,503,341,162,0.677932
UCLA035,sub-UCLA035,churchlandlab_ucla,2,4,452,2022-02-18,1,6f36868f-5cc1-450c-82fa-6b9829ce0cfe,2,140,probe00,54455bff-7afd-4a16-835f-f79b7c30bae9,21,Isocortex,Isocortex:18,1,"Isocortex, CNU",Isocortex:84; CNU:51,2,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,1002,542,460,0.540918
UCLA035,sub-UCLA035,churchlandlab_ucla,2,4,452,2022-02-18,1,6f36868f-5cc1-450c-82fa-6b9829ce0cfe,2,140,probe01,7c94d733-b913-4064-83f2-37422712204c,119,"Isocortex, CNU",Isocortex:66; CNU:51,2,"Isocortex, CNU",Isocortex:84; CNU:51,2,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,1002,542,460,0.540918
UCLA035,sub-UCLA035,churchlandlab_ucla,2,4,452,2022-02-24,1,f99ac31f-171b-4208-a55d-5644c0ad51c3,2,312,probe00,6ad5a0a6-362a-4aec-8743-2e91469b0b62,312,"OLF, Isocortex, CNU",OLF:156; Isocortex:144; CNU:12,3,"OLF, Isocortex, CNU",OLF:156; Isocortex:144; CNU:12,3,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,748,409,339,0.546791
UCLA035,sub-UCLA035,churchlandlab_ucla,2,4,452,2022-02-24,1,f99ac31f-171b-4208-a55d-5644c0ad51c3,2,312,probe01,6e61f777-90b9-4656-af30-9ed54d426c5a,0,,,,"OLF, Isocortex, CNU",OLF:156; Isocortex:144; CNU:12,3,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,748,409,339,0.546791
UCLA036,sub-UCLA036,churchlandlab_ucla,1,2,304,2022-03-09,1,e2b845a1-e313-4a08-bc61-a5f662ed295e,2,304,probe00,80f6ffdd-f692-450f-ab19-cd6d45bfd73e,155,"TH, MB, Isocortex, HPF",TH:56; MB:40; Isocortex:29; HPF:25,4,"MB, Isocortex, TH, HPF",MB:96; Isocortex:88; TH:56; HPF:44,4,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,476,293,183,0.615546
UCLA036,sub-UCLA036,churchlandlab_ucla,1,2,304,2022-03-09,1,e2b845a1-e313-4a08-bc61-a5f662ed295e,2,304,probe01,ac839451-05bc-493e-b167-558b2b195baa,149,"Isocortex, MB, HPF",Isocortex:59; MB:56; HPF:19,3,"MB, Isocortex, TH, HPF",MB:96; Isocortex:88; TH:56; HPF:44,4,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,476,293,183,0.615546
UCLA037,sub-UCLA037,churchlandlab_ucla,4,5,805,2022-02-02,1,2bdf206a-820f-402f-920a-9e86cd5388a4,2,376,probe00,02cc03e4-8015-4050-bb42-6c832091febb,146,"MB, Isocortex, HPF",MB:108; Isocortex:19; HPF:15,3,"TH, MB, HPF, Isocortex",TH:133; MB:112; HPF:64; Isocortex:51,4,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,580,428,152,0.737931
UCLA037,sub-UCLA037,churchlandlab_ucla,4,5,805,2022-02-02,1,2bdf206a-820f-402f-920a-9e86cd5388a4,2,376,probe01,afe87fbb-3a17-461f-b333-e22903f1d70d,230,"TH, HPF, Isocortex, MB",TH:133; HPF:49; Isocortex:32; MB:4,4,"TH, MB, HPF, Isocortex",TH:133; MB:112; HPF:64; Isocortex:51,4,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,580,428,152,0.737931
UCLA037,sub-UCLA037,churchlandlab_ucla,4,5,805,2022-02-08,1,fa8ad50d-76f2-45fa-a52f-08fe3d942345,1,8,probe00,e05af01e-8721-4ec7-8d0f-dc022b3bebc3,8,"HY, TH",HY:5; TH:3,2,"HY, TH",HY:5; TH:3,2,True,True,probe00,True,"left, right",True,"left, right",DLC + Lightning Pose,459,272,187,0.592593
UCLA037,sub-UCLA037,churchlandlab_ucla,4,5,805,2022-02-09,1,8d316998-28c3-4265-b029-e2ca82375b2f,1,229,probe00,5245b505-d0e7-4942-94d1-b33a084fab03,229,Isocortex,Isocortex:226,1,Isocortex,Isocortex:226,1,True,True,probe00,True,"left, right",True,"left, right",DLC + Lightning Pose,610,405,205,0.663934
UCLA037,sub-UCLA037,churchlandlab_ucla,4,5,805,2022-02-10,1,bda2faf5-9563-4940-a80f-ce444259e47b,1,192,probe00,29418b18-4db6-436f-a85e-b0f1d38d2e62,192,"HPF, Isocortex",HPF:135; Isocortex:57,2,"HPF, Isocortex",HPF:135; Isocortex:57,2,True,True,probe00,True,"left, right",True,"left, right",DLC + Lightning Pose,545,315,230,0.577982
UCLA044,sub-UCLA044,churchlandlab_ucla,2,2,201,2022-04-14,1,91bac580-76ed-41ab-ac07-89051f8d7f6e,1,78,probe00,6d9b6393-6729-4a15-ad08-c6838842a074,78,"MB, HPF, Isocortex",MB:42; HPF:19; Isocortex:17,3,"MB, HPF, Isocortex",MB:42; HPF:19; Isocortex:17,3,True,True,probe00,True,right,True,right,DLC + Lightning Pose,699,265,434,0.379113
UCLA044,sub-UCLA044,churchlandlab_ucla,2,2,201,2022-04-22,1,23c75e0b-05d8-452e-8efb-a3687ab94079,1,123,probe00,c64201ea-262e-45fe-8f41-5a074780cd59,123,CB,CB:121,1,CB,CB:121,1,True,True,probe00,True,"left, right",True,"left, right",DLC + Lightning Pose,562,313,249,0.55694
UCLA048,sub-UCLA048,churchlandlab_ucla,1,2,162,2022-08-16,1,dc962048-89bb-4e6a-96a9-b062a2be1426,2,162,probe00,ee3345e6-540d-4cea-9e4a-7f1b2fb9a4e4,97,"Isocortex, MB, HPF, TH",Isocortex:33; MB:31; HPF:15; TH:15,4,"Isocortex, MB, HPF, TH",Isocortex:59; MB:46; HPF:34; TH:19,4,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,458,272,186,0.593886
UCLA048,sub-UCLA048,churchlandlab_ucla,1,2,162,2022-08-16,1,dc962048-89bb-4e6a-96a9-b062a2be1426,2,162,probe01,53b3a7c6-ae42-49da-b69c-69e55a43a427,65,"Isocortex, HPF, MB, TH",Isocortex:26; HPF:19; MB:15; TH:4,4,"Isocortex, MB, HPF, TH",Isocortex:59; MB:46; HPF:34; TH:19,4,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,458,272,186,0.593886
UCLA049,sub-UCLA049,churchlandlab_ucla,2,4,375,2022-08-02,1,0841d188-8ef2-4f20-9828-76a94d5343a4,2,128,probe00,c6e294f7-5421-4697-8618-8ccc9b0269f6,46,"MB, HPF, TH",MB:34; HPF:9; TH:2,3,"MB, TH, HPF, Isocortex",MB:55; TH:31; HPF:25; Isocortex:10,4,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,505,289,216,0.572277
UCLA049,sub-UCLA049,churchlandlab_ucla,2,4,375,2022-08-02,1,0841d188-8ef2-4f20-9828-76a94d5343a4,2,128,probe01,dd75e810-a399-4364-9d4a-517312cf3010,82,"TH, MB, HPF, Isocortex",TH:29; MB:21; HPF:16; Isocortex:10,4,"MB, TH, HPF, Isocortex",MB:55; TH:31; HPF:25; Isocortex:10,4,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,505,289,216,0.572277
UCLA049,sub-UCLA049,churchlandlab_ucla,2,4,375,2022-08-12,1,8a1cf4ef-06e3-4c72-9bc7-e1baa189841b,2,247,probe00,5e8ac11b-959a-49ab-a6a3-8a3397e1df0e,50,CNU,CNU:50,1,"Isocortex, CNU, HPF",Isocortex:96; CNU:50; HPF:38,3,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,405,246,159,0.607407
UCLA049,sub-UCLA049,churchlandlab_ucla,2,4,375,2022-08-12,1,8a1cf4ef-06e3-4c72-9bc7-e1baa189841b,2,247,probe01,5544da75-8d34-47cb-9092-1f91e713e79c,197,"Isocortex, HPF",Isocortex:96; HPF:38,2,"Isocortex, CNU, HPF",Isocortex:96; CNU:50; HPF:38,3,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,405,246,159,0.607407
UCLA052,sub-UCLA052,churchlandlab_ucla,1,1,93,2022-07-12,1,687017d4-c9fc-458f-a7d5-0979fe1a7470,1,93,probe00,f68d9f26-ac40-4c67-9cbf-9ad1851292f7,93,"MB, Isocortex, HPF",MB:40; Isocortex:26; HPF:18,3,"MB, Isocortex, HPF",MB:40; Isocortex:26; HPF:18,3,True,True,probe00,True,"left, right",True,"left, right",DLC + Lightning Pose,436,269,167,0.616972
KS014,sub-KS014,cortexlab,3,5,538,2019-12-03,1,16693458-0801-4d35-a3f1-9115c7e5acfd,2,270,probe00,53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2,188,MB,MB:184,1,"MB, Isocortex",MB:226; Isocortex:40,2,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,531,353,178,0.664783
KS014,sub-KS014,cortexlab,3,5,538,2019-12-03,1,16693458-0801-4d35-a3f1-9115c7e5acfd,2,270,probe01,b543e81e-4c8f-415e-82ec-631b177d19d2,82,"MB, Isocortex",MB:42; Isocortex:40,2,"MB, Isocortex",MB:226; Isocortex:40,2,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,531,353,178,0.664783
KS014,sub-KS014,cortexlab,3,5,538,2019-12-05,1,e1931de1-cf7b-49af-af33-2ade15e8abe7,2,171,probe00,9150758e-1390-41d1-b426-96675e60dbea,57,"MB, Isocortex, HPF",MB:29; Isocortex:11; HPF:3,3,"MB, Isocortex, HPF",MB:141; Isocortex:11; HPF:3,3,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,688,541,147,0.786337
KS014,sub-KS014,cortexlab,3,5,538,2019-12-05,1,e1931de1-cf7b-49af-af33-2ade15e8abe7,2,171,probe01,fe2d6fc9-b0c4-4256-b427-9c06950da925,114,MB,MB:112,1,"MB, Isocortex, HPF",MB:141; Isocortex:11; HPF:3,3,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,688,541,147,0.786337
KS014,sub-KS014,cortexlab,3,5,538,2019-12-07,1,b9c205c3-feac-485b-a89d-afc96d9cb280,1,97,probe00,ea931b15-6214-4b80-8d88-7acbbe071bc0,97,"MB, HPF",MB:86; HPF:10,2,"MB, HPF",MB:86; HPF:10,2,True,True,probe00,True,"left, right",True,"left, right",DLC + Lightning Pose,657,412,245,0.627093
KS016,sub-KS016,cortexlab,3,6,349,2019-12-05,1,6cf2a88a-515b-4f7f-89a2-7d53eab9b5f4,2,94,probe00,31811232-52ef-456c-9772-5021c00b2bc9,41,"TH, HPF, HY, Isocortex",TH:17; HPF:9; HY:6; Isocortex:1,4,"TH, MB, HPF, HY, Isocortex",TH:37; MB:24; HPF:16; HY:6; Isocortex:1,5,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,445,325,120,0.730337
KS016,sub-KS016,cortexlab,3,6,349,2019-12-05,1,6cf2a88a-515b-4f7f-89a2-7d53eab9b5f4,2,94,probe01,fa539f97-a078-4fc6-9a12-237799466d9c,53,"MB, TH, HPF",MB:24; TH:20; HPF:7,3,"TH, MB, HPF, HY, Isocortex",TH:37; MB:24; HPF:16; HY:6; Isocortex:1,5,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,445,325,120,0.730337
KS016,sub-KS016,cortexlab,3,6,349,2019-12-08,1,16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1,2,107,probe00,c0c3bcca-6a79-47ef-becb-b1a157a3f2cb,65,"MB, HB",MB:44; HB:21,2,"MB, HB",MB:76; HB:30,2,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,553,362,191,0.654611
KS016,sub-KS016,cortexlab,3,6,349,2019-12-08,1,16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1,2,107,probe01,d595ee58-75bb-4df3-96de-d9b4f4d1f6ab,42,"MB, HB",MB:32; HB:9,2,"MB, HB",MB:76; HB:30,2,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,553,362,191,0.654611
KS016,sub-KS016,cortexlab,3,6,349,2019-12-09,1,dd87e278-999d-478b-8cbd-b5bf92b84763,2,148,probe00,46448da7-ad7b-4ca8-b3ab-2d1d47439cbf,71,MB,MB:67,1,"MB, HB",MB:103; HB:41,2,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,744,555,189,0.745968
KS016,sub-KS016,cortexlab,3,6,349,2019-12-09,1,dd87e278-999d-478b-8cbd-b5bf92b84763,2,148,probe01,15a2a63f-739d-4eb0-ab8f-fc95b6299b68,77,"HB, MB",HB:41; MB:36,2,"MB, HB",MB:103; HB:41,2,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,744,555,189,0.745968
KS022,sub-KS022,cortexlab,1,2,89,2019-12-09,1,15f742e1-1043-45c9-9504-f1e8a53c1744,2,89,probe00,3675290c-8134-4598-b924-83edb7940269,27,"MB, HB",MB:26; HB:1,2,"MB, TH, HPF, HY, HB",MB:33; TH:30; HPF:21; HY:4; HB:1,5,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,826,494,332,0.598063
KS022,sub-KS022,cortexlab,1,2,89,2019-12-09,1,15f742e1-1043-45c9-9504-f1e8a53c1744,2,89,probe01,82765a73-2a03-42ca-ba98-194247caa62e,62,"TH, HPF, MB, HY",TH:30; HPF:21; MB:7; HY:4,4,"MB, TH, HPF, HY, HB",MB:33; TH:30; HPF:21; HY:4; HB:1,5,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,826,494,332,0.598063
KS023,sub-KS023,cortexlab,4,8,823,2019-12-06,1,a4000c2f-fa75-4b3e-8f06-a7cf599b87ad,2,210,probe00,e8129a86-b5a9-4d2e-9e9c-09689c9bf0b3,95,"TH, CTXsp, HY, OLF, CNU",TH:58; CTXsp:18; HY:11; OLF:6; CNU:2,5,"CNU, Isocortex, TH, CTXsp, HY, OLF",CNU:58; Isocortex:58; TH:58; CTXsp:18; HY:11; OLF:6,6,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,653,513,140,0.785605
KS023,sub-KS023,cortexlab,4,8,823,2019-12-06,1,a4000c2f-fa75-4b3e-8f06-a7cf599b87ad,2,210,probe01,adca9242-0725-41d4-8eb1-5655a464431d,115,"Isocortex, CNU",Isocortex:58; CNU:56,2,"CNU, Isocortex, TH, CTXsp, HY, OLF",CNU:58; Isocortex:58; TH:58; CTXsp:18; HY:11; OLF:6,6,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,653,513,140,0.785605
KS023,sub-KS023,cortexlab,4,8,823,2019-12-07,1,cc45c568-c3b9-4f74-836e-c87762e898c8,2,221,probe00,aab5be05-5c1c-4c08-9739-1274bc3bcf4f,96,"MB, TH, HY, HPF",MB:53; TH:27; HY:12; HPF:1,4,"CNU, Isocortex, MB, TH, HY, HPF",CNU:60; Isocortex:60; MB:53; TH:27; HY:12; HPF:5,6,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,715,524,191,0.732867
KS023,sub-KS023,cortexlab,4,8,823,2019-12-07,1,cc45c568-c3b9-4f74-836e-c87762e898c8,2,221,probe01,6a22a5b4-79ec-4b3c-b023-1ec7b4a2b675,125,"CNU, Isocortex, HPF",CNU:60; Isocortex:60; HPF:4,3,"CNU, Isocortex, MB, TH, HY, HPF",CNU:60; Isocortex:60; MB:53; TH:27; HY:12; HPF:5,6,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,715,524,191,0.732867
KS023,sub-KS023,cortexlab,4,8,823,2019-12-08,1,a92c4b1d-46bd-457e-a1f4-414265f0e2d4,2,122,probe00,f44d2056-644c-4769-a189-7efe67b0269d,39,"MB, TH, HPF",MB:33; TH:4; HPF:2,3,"CNU, Isocortex, MB, TH, HPF",CNU:47; Isocortex:36; MB:33; TH:4; HPF:2,5,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,800,584,216,0.73
KS023,sub-KS023,cortexlab,4,8,823,2019-12-08,1,a92c4b1d-46bd-457e-a1f4-414265f0e2d4,2,122,probe01,26af22bb-b295-4a45-8ed3-1700604c0708,83,"CNU, Isocortex",CNU:47; Isocortex:36,2,"CNU, Isocortex, MB, TH, HPF",CNU:47; Isocortex:36; MB:33; TH:4; HPF:2,5,True,True,"probe00, probe01",True,"left, right",True,"left, right",DLC + Lightning Pose,800,584,216,0.73
KS023,sub-KS023,cortexlab,4,8,823,2019-12-10,1,aad23144-0e52-4eac-80c5-c4ee2decb198,2,270,probe00,45e7731f-4a43-45d5-9029-c080150bc596,174,"Isocortex, CNU, OLF",Isocortex:111; CNU:43; OLF:20,3,"Isocortex, CNU, TH, OLF, HPF",Isocortex:149; CNU:43; TH:39; OLF:20; HPF:19,5,True,True,"probe00, probe01",True,"body, left, right",True,"left, right",DLC + Lightning Pose,641,484,157,0.75507
KS023,sub-KS023,cortexlab,4,8,823,2019-12-10,1,aad23144-0e52-4eac-80c5-c4ee2decb198,2,270,probe01,b749446c-18e3-4987-820a-50649ab0f826,96,"TH, Isocortex, HPF",TH:39; Isocortex:38; HPF:19,3,"Isocortex, CNU, TH, OLF, HPF",Isocortex:149; CNU:43; TH:39; OLF:20; HPF:19,5,True,True,"probe00, probe01",True,"body, left, right",True,"left, right",DLC + Lightning Pose,641,484,157,0.75507
KS042,sub-KS042,cortexlab,2,4,362,2020-11-23,1,8c552ddc-813e-4035-81cc-3971b57efe65,2,161,probe00,b98f6b89-3de4-4295-be1c-59e465de1e32,118,"Isocortex, OLF, CNU, CTXsp",Isocortex:46; OLF:32; CNU:13; CTXsp:11,4,"Isocortex, MB, OLF, CNU, CTXsp",Isocortex:46; MB:43; OLF:32; CNU:13; CTXsp:11,5,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,457,330,127,0.722101
KS042,sub-KS042,cortexlab,2,4,362,2020-11-23,1,8c552ddc-813e-4035-81cc-3971b57efe65,2,161,probe01,10ef1dcd-093c-4839-8f38-90a25edefb49,43,MB,MB:43,1,"Isocortex, MB, OLF, CNU, CTXsp",Isocortex:46; MB:43; OLF:32; CNU:13; CTXsp:11,5,True,True,"probe00, probe01",True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,457,330,127,0.722101
