eid,subject,lab,date,session_number,n_trials,raw_lfp_available,raw_lfp_probes,n_raw_lfp_probes,dlc_available,dlc_views,lightning_pose_available,lightning_pose_views,pose_keypoints_available,n_registered_datasets,session_regions_with_good_units,session_region_good_unit_counts,n_regions_session
f359281f-6941-4bfd-90d4-940be22ed3c3,NYU-40,angelakilab,2021-04-16,2,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,239,CB,CB:60,1
51e53aff-1d5d-4182-a684-aba783d50ae5,NYU-45,angelakilab,2021-07-19,1,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,266,"MB, TH, HPF, Isocortex, OLF",MB:124; TH:115; HPF:19; Isocortex:6; OLF:1,5
537677fe-1e24-4755-948c-fa4a4e8ecce5,NYU-45,angelakilab,2021-07-20,2,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,243,"CB, Isocortex, MB, HB",CB:82; Isocortex:67; MB:26; HB:3,4
5bcafa14-71cb-42fa-8265-ce5cda1b89e0,NYU-45,angelakilab,2021-07-23,1,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,243,"HB, MB, CB",HB:144; MB:31; CB:14,3
d32876dd-8303-4720-8e7e-20678dc2fd71,NYU-46,angelakilab,2021-06-22,1,,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,148,"Isocortex, OLF",Isocortex:24; OLF:7,2
72982282-e493-45ee-87ce-aa45cb3a3ec1,NYU-46,angelakilab,2021-06-23,1,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,243,"CB, Isocortex, CNU",CB:36; Isocortex:27; CNU:13,3
6434f2f5-6bce-42b8-8563-d93d493613a2,NYU-46,angelakilab,2021-06-24,1,,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,152,"Isocortex, OLF, CTXsp, CNU",Isocortex:35; OLF:30; CTXsp:12; CNU:6,4
64e3fb86-928c-4079-865c-b364205b502e,NYU-46,angelakilab,2021-06-25,1,,True,probe01,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,153,Isocortex,Isocortex:25,1
15948667-747b-4702-9d53-354ac70e9119,NYU-47,angelakilab,2021-06-22,1,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,243,"HB, CB, MB",HB:133; CB:88; MB:7,3
288bfbf3-3700-4abe-b6e4-130b5c541e61,NYU-47,angelakilab,2021-06-24,3,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,243,"HB, CB, TH, Isocortex, CNU",HB:24; CB:16; TH:9; Isocortex:2; CNU:1,5
fc43390d-457e-463a-9fd4-b94a0a8b48f5,NYU-47,angelakilab,2021-06-25,1,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,239,"TH, CB, HB, CNU, Isocortex",TH:59; CB:17; HB:15; CNU:2; Isocortex:2,5
a405053a-eb13-4aa4-850c-5a337e5dc7fd,NYU-48,angelakilab,2021-06-29,1,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,239,"HPF, Isocortex, CNU",HPF:35; Isocortex:31; CNU:11,3
93ad879a-aa42-4150-83e1-38773c9785e4,NYU-48,angelakilab,2021-07-01,1,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,239,"CB, HB, MB",CB:121; HB:103; MB:65,3
3d59aa1a-b4ba-47fe-b9cf-741b5fdb0c7b,NYU-48,angelakilab,2021-07-02,1,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,243,"MB, HB, TH, Isocortex, HPF",MB:61; HB:32; TH:31; Isocortex:25; HPF:8,5
a2ec6341-c55f-48a0-a23b-0ef2f5b1d71e,NYU-65,angelakilab,2022-09-12,2,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,239,"CB, TH, HPF, HB, Isocortex",CB:77; TH:58; HPF:22; HB:14; Isocortex:3,5
8c025071-c4f3-426c-9aed-f149e8f75b7b,NYU-65,angelakilab,2022-09-15,1,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,239,"CB, HB",CB:197; HB:39,2
bb8d9451-fdbd-4f46-b52e-9290e8f84d2e,NYU-65,angelakilab,2022-09-16,1,,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,239,"CB, HB",CB:198; HB:86,2
034e726f-b35f-41e0-8d6c-a22cc32391fb,CSHL045,churchlandlab,2020-02-24,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,226,"TH, Isocortex, HPF, HY, CNU",TH:97; Isocortex:19; HPF:9; HY:5; CNU:1,5
dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,CSHL045,churchlandlab,2020-02-25,2,,True,probe01,1,True,"left, right",True,"left, right",DLC + Lightning Pose,136,"TH, CNU",TH:29; CNU:28,2
fa704052-147e-46f6-b190-a65b837e605e,CSHL045,churchlandlab,2020-02-26,1,,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,224,"MB, Isocortex, HB, HPF",MB:57; Isocortex:36; HB:27; HPF:5,4
46794e05-3f6a-4d35-afb3-9165091a5a74,CSHL045,churchlandlab,2020-02-27,1,,True,probe01,1,True,"left, right",True,"left, right",DLC + Lightning Pose,130,"HB, CB",HB:76; CB:24,2
7939711b-8b4d-4251-b698-b97c1eaa846e,CSHL045,churchlandlab,2020-02-28,1,,True,probe01,1,True,"left, right",True,"left, right",DLC + Lightning Pose,133,"HB, CB",HB:119; CB:94,2
