eid,stimOff_times,goCueTrigger_times,firstMovement_times,goCue_times,probabilityLeft,response_times,feedbackType,rewardVolume,contrastRight,choice,feedback_times,stimOn_times,contrastLeft,intervals_0,intervals_1,bwm_include,saturation_stim_plus04,saturation_feedback_plus04,saturation_move_minus02,saturation_stim_minus04_minus01,saturation_stim_plus06,saturation_stim_minus06_plus06,saturation_stim_minus06_minus01,saturation_stim_plus01,stim_side,rt
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,40.209012030040206,38.692776754994206,38.85924134000029,38.693663580038695,0.5,39.0790803653423,1.0,1.5,,1.0,39.07919169003908,38.69263035003869,1.0,32.781621510032785,40.70909959931028,True,False,False,False,False,False,False,False,False,left,0.1666109899615975
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,44.092623630044095,42.659615807513,42.75824134000029,42.660300210042664,0.5,42.97391897247,1.0,1.5,0.125,-1.0,42.97403550004297,42.65946696004266,,41.307302190041305,44.59263827258261,True,False,False,False,False,False,False,False,False,right,0.09877437995763216
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,49.60920525004961,47.192261415743666,48.069241340000296,47.192913570047196,0.5,48.4892744534417,1.0,1.5,,1.0,48.48938391004849,47.19211365004719,0.25,45.24384183004524,50.1092927380191,True,False,False,False,False,False,False,False,False,left,0.877127689953106
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,54.50891523005451,51.2922014701489,53.2232413400003,51.29290353005129,0.5,53.40692215700268,1.0,1.5,1.0,-1.0,53.40702543005341,51.29207028005129,,50.704395720050705,55.0089408284463,True,False,False,False,False,False,False,False,False,right,1.9311710599490084
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,69.37472850006938,67.87497726377796,68.06024134000032,67.87577841006788,0.5,68.27557873220717,1.0,1.5,1.0,-1.0,68.27567175006827,67.87481184006788,,67.24377495006725,69.87478759420515,True,False,False,False,False,False,False,False,False,right,0.1854294999324395
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,80.29067013008029,78.87367501477597,79.02824134000033,78.87437844007887,0.5,79.1882780720834,1.0,1.5,,1.0,79.18838037007919,78.87357852007888,1.0,78.2979694200783,80.7906956443515,True,False,False,False,False,False,False,False,False,left,0.15466281992145525
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,86.62330347008663,83.47351894481274,85.26824134000033,83.47431840008348,0.5,85.50083886421281,1.0,1.5,0.125,-1.0,85.5009490500855,83.47338516008348,,81.34489803008134,87.12335780624723,True,False,False,False,False,False,False,False,False,right,1.7948561799168488
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,90.35663010009036,88.80707752881065,89.03624134000033,88.80795165008881,0.5,89.24128384300745,1.0,1.5,0.25,-1.0,89.24137497008924,88.8069184200888,,87.70896156008772,90.85671033442257,True,False,False,False,False,False,False,False,False,right,0.22932291991152454
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,95.37242847009537,93.15632948933356,93.79524134000035,93.15725001009316,0.5,94.25423801083303,1.0,1.5,,1.0,94.25434029009425,93.15615012009316,0.0,91.49181657009149,95.87255257150306,True,False,False,False,False,False,False,False,False,left,0.6390912199071863
9e9c6fc0-4769-4d83-9ea4-b59a1230510e,114.82214997011482,113.30512313845789,113.50524134000035,113.3058016201133,0.5,113.71282587879583,1.0,1.5,,1.0,113.71292757011372,113.3049350401133,0.125,112.16721549011217,115.32223869632189,True,False,False,False,False,False,False,False,False,left,0.20030629988704618
