pid,probe_regions_with_good_units,probe_region_good_unit_counts,n_regions_probe
623bb859-eb7c-4739-ba18-28ecad1d9fbb,"TH, HPF, MB",TH:59; HPF:22; MB:15,3
625a7bc9-00cf-44f6-a508-3ed89d23ba3a,"HPF, Isocortex",HPF:157; Isocortex:44,2
6292dc98-e2f1-45de-b045-56d98fdaca75,"HPF, Isocortex, OLF, CTXsp",HPF:43; Isocortex:8; OLF:8; CTXsp:3,4
62a97aee-9f8b-40be-9ea7-f785ede30df8,"Isocortex, OLF, CNU",Isocortex:182; OLF:34; CNU:2,3
63435e73-6a72-4007-b0da-03e6473e6870,"Isocortex, HPF",Isocortex:4; HPF:2,2
63517fd4-ece1-49eb-9259-371dc30b1dd6,"TH, Isocortex, HPF, HY",TH:150; Isocortex:35; HPF:27; HY:4,4
6358854e-51d2-47de-a278-5cbfd155feb6,"CNU, Isocortex",CNU:185; Isocortex:74,2
63679ae2-6c87-495b-b888-a7273e545636,"CB, HB",CB:201; HB:95,2
63a32e5c-f63a-450d-85cb-140947b67eaf,"MB, HPF, Isocortex",MB:25; HPF:15; Isocortex:8,3
642a3373-6fee-4f2a-b8d6-38dd42ada763,MB,MB:29,1
64aadf54-d662-4934-8c08-cad14ee5b69f,"CB, HB",CB:160; HB:36,2
64d04585-67e7-4320-baad-8d4589fd18f7,HPF,HPF:82,1
64f4afa4-ec5f-4ad6-ab28-415a9a8098ed,"HPF, OLF, CTXsp",HPF:26; OLF:9; CTXsp:8,3
6506252f-1141-4e11-8816-4db01b71dda0,"OLF, CTXsp, HPF",OLF:42; CTXsp:28; HPF:24,3
6638cfb3-3831-4fc2-9327-194b76cf22e1,"OLF, Isocortex",OLF:125; Isocortex:25,2
664de6d9-bba2-424b-b76c-bb61900c015f,"OLF, CNU, CTXsp",OLF:40; CNU:17; CTXsp:4,3
66f810a8-b18d-4b54-9f28-2964dfceccad,"TH, HY",TH:23; HY:2,2
6728ddac-63ba-4e63-9884-395c7c16c7a3,"CB, MB, HB",CB:55; MB:33; HB:30,3
675952a4-e8b3-4e82-a179-cc970d5a8b01,"CNU, OLF, CTXsp",CNU:84; OLF:29; CTXsp:18,3
688606f8-9733-46f2-8331-b2dd84c5d385,"CNU, Isocortex, OLF",CNU:114; Isocortex:47; OLF:6,3
68c98fb2-402b-4670-9b3b-0c77619998ea,HPF,HPF:51,1
68f06c5f-8566-4a4f-a4b1-ab8398724913,"CB, HB",CB:68; HB:52,2
68f5f1e4-5e88-4aa5-8a1a-94b691adb11e,"CNU, OLF",CNU:84; OLF:10,2
6925a312-966c-4e41-b79e-4594da57a2ee,"CB, HB",CB:77; HB:14,2
695476f6-4c14-4a2f-b658-948514629079,"TH, Isocortex",TH:60; Isocortex:28,2
697d9e03-edc6-430a-ae76-94628c510161,"MB, Isocortex",MB:69; Isocortex:39,2
6981808a-357c-4ffd-9989-33160ba9e256,"MB, HY",MB:183; HY:5,2
69f42a9c-095d-4a25-bca8-61a9869871d3,"TH, Isocortex, HPF, MB",TH:50; Isocortex:31; HPF:15; MB:3,4
6a098711-5423-4072-8909-7cff0e2d4531,"HB, CB, MB",HB:9; CB:4; MB:3,3
6a22a5b4-79ec-4b3c-b023-1ec7b4a2b675,"CNU, Isocortex, HPF",CNU:60; Isocortex:60; HPF:4,3
6a7544a8-d3d4-44a1-a9c6-7f4d460feaac,MB,MB:19,1
6aa08c75-8ee5-457d-9794-b89ee1c4453f,"MB, HPF",MB:28; HPF:2,2
6ad5a0a6-362a-4aec-8743-2e91469b0b62,"OLF, Isocortex, CNU",OLF:156; Isocortex:144; CNU:12,3
6b6af675-e1ef-43a6-b408-95cfc71fe2cc,"TH, Isocortex, HPF",TH:99; Isocortex:40; HPF:20,3
6bd246d2-b2c2-4a88-ac44-1a3e0facbaee,"MB, HPF, Isocortex, TH",MB:41; HPF:9; Isocortex:3; TH:1,4
6be21156-33b0-4f70-9a0f-65b3e3cd6d4a,"TH, HPF, Isocortex",TH:74; HPF:13; Isocortex:7,3
6d24683c-da42-4610-baf0-7ceee7014394,"TH, Isocortex, HPF",TH:177; Isocortex:18; HPF:17,3
6d3b68e0-3efd-4b03-b747-16e44118a0a9,"MB, HY, TH",MB:38; HY:6; TH:1,3
6d9b6393-6729-4a15-ad08-c6838842a074,"MB, HPF, Isocortex",MB:42; HPF:19; Isocortex:17,3
6eb8be8d-d089-43c6-b2e4-a6558ca16dcf,"Isocortex, TH",Isocortex:74; TH:24,2
6efc58a4-e1cd-4eca-9205-7e4898cc1f8b,"CNU, Isocortex",CNU:38; Isocortex:12,2
6fc4d73c-2071-43ec-a756-c6c6d8322c8b,"TH, HPF",TH:55; HPF:5,2
701026df-e170-4ca7-88aa-eb0b95ef6ba1,HPF,HPF:65,1
703f2cd2-377a-48ec-979a-135863169671,MB,MB:7,1
70da415f-444d-4148-ade7-a1f58a16fcf8,"TH, Isocortex, HPF",TH:73; Isocortex:27; HPF:10,3
72274871-80e5-4fb9-be1a-bb04acebb1de,"HPF, Isocortex",HPF:13; Isocortex:7,2
727ff7c4-d63f-4bd8-9888-f134a25b874f,"MB, Isocortex",MB:29; Isocortex:21,2
72c095b0-c7ab-4e22-a4aa-4163102de553,"HB, CB",HB:102; CB:53,2
7332e6cf-9847-4aca-b2e3-d864989dd0fb,"HB, CB",HB:106; CB:16,2
73ff4936-8cd3-4a75-a772-f563e67d249d,"CNU, Isocortex",CNU:33; Isocortex:16,2
7441d0df-ef9b-419b-ae4d-b9bd7c2f17cb,CB,CB:30,1
749cb2b7-e57e-4453-a794-f6230e4d0226,"Isocortex, OLF",Isocortex:133; OLF:30,2
7587e3bb-dd11-4853-b48b-feab0b56ae05,"HB, CB",HB:130; CB:31,2
769b42dc-acf3-4079-b09e-ec979568d297,"MB, Isocortex, HPF",MB:44; Isocortex:6; HPF:5,3
76c5c1a1-3617-4727-9f75-d975c9a08203,"HB, CB",HB:73; CB:12,2
76de0e1a-30aa-4713-9fe5-25ad2dff653f,"MB, HPF, TH",MB:23; HPF:21; TH:12,3
76f16631-cbf7-4883-9437-4e8d8c4f34a3,"CB, HB",CB:82; HB:3,2
77121d92-6dde-4243-ab54-0a99efa22e99,"TH, HY",TH:163; HY:28,2
7791ee46-5c13-4d1b-8518-5602dcb8666b,"HB, MB, HPF, Isocortex",HB:27; MB:25; HPF:5; Isocortex:1,4
779fbed1-4b0e-4d7d-8882-6650690221a0,"CNU, TH",CNU:92; TH:69,2
784c5282-2749-48ca-b211-100d0b24e29b,"HB, CB",HB:157; CB:9,2
789fd2ee-c755-46c5-9c6f-260092520216,"CB, HB",CB:173; HB:31,2
7909c0aa-c074-4e19-aabf-b8167c682a5b,"CB, HB, MB",CB:3; HB:2; MB:1,3
79628a45-c2e3-4206-97df-4c91edaff90f,"Isocortex, CNU",Isocortex:57; CNU:36,2
799d899d-c398-4e81-abaf-1ef4b02d5475,"HPF, Isocortex",HPF:34; Isocortex:28,2
79b2e46e-e2ee-446e-b875-9aff03ef52d2,"Isocortex, CNU",Isocortex:67; CNU:56,2
79e56114-a12b-4571-bee3-a5cdd2145ea1,"HB, CB",HB:34; CB:4,2
79f44ba1-c931-4346-82eb-f628a9374045,"TH, Isocortex",TH:61; Isocortex:44,2
79fbd14b-bfad-4b28-90a9-3019bf72336f,"Isocortex, CNU",Isocortex:27; CNU:13,2
7a620688-66cb-44d3-b79b-ccac1c8ba23e,"TH, Isocortex, HPF",TH:69; Isocortex:33; HPF:25,3
7b05cccc-44f6-4491-a0ea-e38d6e95513d,"Isocortex, OLF, CTXsp",Isocortex:40; OLF:29; CTXsp:22,3
7bc16ab1-1b0d-4f52-9e4b-210106ea344c,"HB, CB",HB:119; CB:52,2
7bd5627e-b02e-47f1-b476-4bf8eaa726b3,"CNU, Isocortex",CNU:87; Isocortex:38,2
7be00744-2e27-4062-8f56-3969e24e9990,"TH, Isocortex, HPF",TH:146; Isocortex:92; HPF:22,3
7beb9419-113d-4e47-938c-68ab2657031e,"TH, HPF, Isocortex, MB",TH:23; HPF:15; Isocortex:12; MB:1,4
7c11adc6-adbd-484f-8ae9-13946285e3f8,"HB, CB",HB:61; CB:14,2
7c94d733-b913-4064-83f2-37422712204c,"Isocortex, CNU",Isocortex:66; CNU:51,2
7cb5128d-aaf5-4859-a236-527bff0f3c76,"HB, MB",HB:54; MB:15,2
7d1a2cb6-f482-4059-b596-53087caac8ec,"MB, HPF, Isocortex",MB:37; HPF:25; Isocortex:18,3
7d63ab43-95e4-41f5-bd43-c629578de7a9,"CNU, Isocortex",CNU:72; Isocortex:18,2
7d999a68-0215-4e45-8e6c-879c6ca2b771,"TH, HPF, Isocortex",TH:88; HPF:12; Isocortex:1,3
7dcd74a9-fc7a-4c3c-85b9-769d869629ec,"TH, Isocortex, CNU",TH:9; Isocortex:2; CNU:1,3
800e8e76-dc93-4e52-ae8d-e35ad26daefe,"TH, CNU",TH:10; CNU:2,2
80c7f589-733c-4f23-abf3-ade8c79f0a3b,"HB, CB",HB:38; CB:5,2
80f6ffdd-f692-450f-ab19-cd6d45bfd73e,"TH, MB, Isocortex, HPF",TH:56; MB:40; Isocortex:29; HPF:25,4
810416d1-ce3c-4b2e-a827-6cdc65c8cd5c,"TH, HPF, HY",TH:58; HPF:1; HY:1,3
8169d556-f994-4735-b4c8-f7c85ddc39b0,"MB, Isocortex, HPF",MB:38; Isocortex:33; HPF:14,3
818d2996-766a-4fd9-82b8-7e4cb080af0e,"TH, CNU, Isocortex",TH:29; CNU:17; Isocortex:12,3
81950362-ed95-4662-997f-e119bbd594d1,"TH, HY",TH:9; HY:1,2
81a1cbae-60b6-4013-9511-1bf3855387a2,"HB, CB",HB:114; CB:10,2
81b1800e-f138-4337-abc9-bb0449b77852,"MB, Isocortex",MB:59; Isocortex:27,2
81ef1ec7-dbcc-410f-9bff-b21a62a909fd,"MB, Isocortex, HPF",MB:102; Isocortex:20; HPF:5,3
81f0087b-2bd1-4e48-8e86-e8206aee3d9d,"MB, HPF",MB:29; HPF:10,2
81f35c52-f7bb-4342-8f91-1837a068c045,CB,CB:71,1
825ba9b8-ce03-49b7-b1a8-4d85ae2185af,"HB, MB",HB:47; MB:32,2
82765a73-2a03-42ca-ba98-194247caa62e,"TH, HPF, MB, HY",TH:30; HPF:21; MB:7; HY:4,4
834fca72-0b69-44e4-b77e-95a61290b50d,"TH, HY, HPF, MB",TH:97; HY:13; HPF:3; MB:3,4
83716e49-3026-41a3-b021-1a4b6362f433,Isocortex,Isocortex:41,1
8386f396-0a69-48b5-98d4-18801066ea76,"CNU, HY",CNU:157; HY:3,2
84fd7fa3-6c2d-4233-b265-46a427d3d68d,"TH, HPF, Isocortex",TH:96; HPF:7; Isocortex:1,3
85bdeae3-269b-4e39-bd9b-2b0d95aff2fa,"HPF, Isocortex",HPF:99; Isocortex:44,2
86553ccc-2e51-4cfb-a8e6-80da6860c8d9,"CB, HB",CB:71; HB:53,2
869bac48-ad1b-46b8-be00-cf6b26aea40e,"HB, CB",HB:30; CB:28,2
8895f61f-1c17-4d2f-8b9b-77476c5261b6,"TH, CNU",TH:71; CNU:13,2
88e1154c-bd92-446d-bd6d-550062666223,Isocortex,Isocortex:160,1
88e148d2-d554-42c2-9c41-cc6369f98c45,"MB, HB, HPF",MB:27; HB:17; HPF:5,3
88fe9ed9-9e3e-431a-8ecc-4cb2fe5bf448,"HB, CB",HB:56; CB:3,2
89606895-287e-4559-8536-9830b047af34,"CB, HB",CB:17; HB:15,2
898f8971-31e9-4fdb-b66e-2ae6d3a33a5b,"Isocortex, CNU",Isocortex:29; CNU:26,2
8ab470cc-de5a-4d65-92bd-9a25fbe6d07d,"MB, HPF",MB:100; HPF:10,2
8aba5f8c-4438-4588-9bb0-b20d2fd3eca5,Isocortex,Isocortex:16,1
8abf098f-d4f6-4957-9c0a-f53685db74cc,"Isocortex, MB, HPF",Isocortex:32; MB:25; HPF:20,3
8ac7e5d5-57a4-41c8-a35d-8195784bfe95,"TH, HY",TH:98; HY:35,2
8b31b4bd-003e-4816-a3bf-2df4cc3558f8,"TH, HPF",TH:70; HPF:1,2
8b735d77-b77b-4243-8821-37802bf402fe,"HPF, Isocortex",HPF:126; Isocortex:68,2
8bf0f1a4-0d8c-4df3-a99e-f7c81c809652,"HB, MB",HB:133; MB:61,2
8c732bf2-639d-496c-bf82-464bc9c2d54b,"TH, Isocortex, HPF",TH:205; Isocortex:64; HPF:13,3
8ca1a850-26ef-42be-8b28-c2e2d12f06d6,"TH, HPF, Isocortex",TH:133; HPF:20; Isocortex:18,3
8d0a5caf-2be2-48c1-bf1a-f538bacd46b4,CB,CB:235,1
8d59da25-3a9c-44be-8b1a-e27cdd39ca34,"TH, HPF",TH:56; HPF:10,2
8d661567-49f3-4547-997d-a345c0ffe2dd,Isocortex,Isocortex:88,1
8d89b7d0-33e7-45c6-9972-d3ad4c1e5f4c,"CNU, Isocortex",CNU:55; Isocortex:17,2
8dfb86c8-d45c-46c4-90ec-33078014d434,"TH, HY",TH:157; HY:6,2
8ee585ba-d055-4bb5-bc5f-2266a3d62bf4,"TH, CTXsp, HY, MB, HPF",TH:46; CTXsp:10; HY:7; MB:4; HPF:1,5
8f2e16c4-893b-4f8f-bfb2-94fa452710ec,"TH, HPF, Isocortex",TH:95; HPF:26; Isocortex:19,3
8f4fd564-7e34-4113-a6e4-ae40faa64f7a,"Isocortex, CNU",Isocortex:36; CNU:10,2
8fbfa285-d721-4a1a-8c18-f36652c17909,"TH, Isocortex, HPF, HY",TH:30; Isocortex:19; HPF:9; HY:5,4
9150758e-1390-41d1-b426-96675e60dbea,"MB, Isocortex, HPF",MB:29; Isocortex:11; HPF:3,3
91fb4ed3-ee27-4d7e-ba5d-f61202ed9884,"HPF, Isocortex",HPF:134; Isocortex:26,2
920865d3-1581-4e81-bd63-ab2186024564,"CNU, Isocortex",CNU:58; Isocortex:33,2
92822789-608f-44a6-ad64-fe549402b2df,"MB, HPF, Isocortex",MB:49; HPF:44; Isocortex:40,3
9338f8bb-e097-46d8-81b4-7f37beb4d308,"TH, CTXsp, HPF, CNU",TH:52; CTXsp:16; HPF:3; CNU:1,4
9373cd09-a591-42be-9343-ed6f06b7056d,"CB, HB",CB:51; HB:49,2
93a76e52-fed0-494f-8852-2b978f56a8e7,"CB, HB",CB:126; HB:39,2
94761f31-0dfc-4f67-87ef-6d1ac7f95144,"MB, HPF, Isocortex",MB:18; HPF:11; Isocortex:5,3
9486a103-c53e-4a60-b202-4efcc6278d44,Isocortex,Isocortex:7,1
94e948c1-f7be-4868-893a-f7cd2df3313e,"MB, HPF",MB:90; HPF:5,2
94fcff55-2da2-4366-a2c7-2f58c05b54dc,"MB, HB",MB:57; HB:46,2
954b1983-e603-4611-ba15-dc2db6f988ab,"TH, HPF, Isocortex",TH:50; HPF:7; Isocortex:7,3
958b1089-a066-43e2-990d-8aad703429a2,"CNU, HY",CNU:102; HY:2,2
95fd67e6-cbff-4356-80c7-5a03b1bf6b8a,"TH, HPF, Isocortex, HY",TH:104; HPF:15; Isocortex:15; HY:6,4
9657af01-50bd-4120-8303-416ad9e24a51,"MB, Isocortex, HPF",MB:34; Isocortex:27; HPF:15,3
96c816ad-9a48-46a4-8a84-9a73cc153d69,"TH, MB",TH:133; MB:31,2
96fe2729-b5a2-4e77-92bb-9df410144768,"TH, HY, Isocortex",TH:117; HY:10; Isocortex:2,3
97207d87-3fcd-4ebb-b0c7-087bdbf8a95c,"MB, Isocortex",MB:99; Isocortex:26,2
9793c99d-f918-4931-8bba-fdb978bd8e0a,"HB, MB",HB:55; MB:29,2
9861fa24-d998-4ef5-9606-89002b8706fc,CB,CB:79,1
9866c08f-acce-4291-b94d-d9835e62f835,CNU,CNU:16,1
98bde8a6-6b6a-4e53-96b1-9078c3974a97,"Isocortex, OLF",Isocortex:24; OLF:7,2
99086aba-f671-42b5-bdc0-e665c61f5452,"MB, Isocortex",MB:37; Isocortex:23,2
9915765e-ff15-4371-b1aa-c2ef1db8a254,"CTXsp, OLF",CTXsp:10; OLF:10,2
9991277b-9e8e-4db8-b8a6-e2c0176ef9ad,"CB, HB",CB:121; HB:30,2
99993a2b-588e-4c0c-bfec-e3dfb4f61534,"Isocortex, OLF",Isocortex:53; OLF:52,2
9ac90b86-fc72-4ca0-9389-c8b3a77da437,"MB, HY",MB:20; HY:7,2
9b3ad89a-177f-4242-9a96-2fd98721e47f,"HPF, CTXsp",HPF:8; CTXsp:1,2
9b5fec96-9f19-4ddf-ba1c-3175e15245e9,"HPF, MB",HPF:41; MB:20,2
9bd71ac6-c455-41f3-8c56-59987a649ac4,"Isocortex, OLF",Isocortex:137; OLF:79,2
9dff5593-e781-41a3-a6f9-20d06085e4f8,CNU,CNU:14,1
9e069684-a4be-4b70-b9e6-446309f977d4,Isocortex,Isocortex:81,1
9e979599-11e1-4372-96fc-e80520f3e668,"HB, CB",HB:131; CB:15,2
9f78a787-c6d5-4e51-b4fb-1552e81eccd5,"TH, Isocortex",TH:114; Isocortex:13,2
9f99bd34-40d4-4aac-ae2b-7bc7f7086ccb,"Isocortex, OLF",Isocortex:121; OLF:10,2
a21bade7-5be7-4a17-a9b9-ddee453e6260,"HB, CB",HB:118; CB:93,2
a3d13b05-bf4d-427a-a2d5-2fe050d603ec,"MB, HPF, Isocortex",MB:43; HPF:10; Isocortex:4,3
a3ebc7f4-813a-4f06-a33e-9825c878f9c2,"HB, MB",HB:72; MB:38,2
a44a9942-0667-4d49-9047-40d2256c9854,"MB, HB",MB:59; HB:3,2
a44bd77c-de9c-49cc-85e5-354aa9f1eb98,"CB, HB",CB:43; HB:10,2
a450558e-195f-44ff-979b-6b6420c9621b,"MB, HB",MB:103; HB:62,2
a464fc97-1391-4bbe-9aef-73a79975d27f,CNU,CNU:31,1
a4d9d9d5-6ea3-4234-aa28-e064e83626fa,"TH, MB, HPF",TH:28; MB:19; HPF:6,3
a4ed0599-4a72-4afb-8fe9-d0d046aec6aa,CB,CB:36,1
a5f2ec22-0ff3-4249-bd2f-6247c3990e53,CNU,CNU:146,1
a63a7248-9393-478b-9478-64f421ef5eb8,"TH, Isocortex, HPF",TH:31; Isocortex:25; HPF:8,3
a6b71993-165b-4c43-845c-c062fe7d7a11,"TH, HY",TH:18; HY:4,2
a6bcfe32-69ce-414f-80bc-495d1b4906af,"MB, HPF, Isocortex",MB:96; HPF:19; Isocortex:13,3
a6f9e4d5-5f20-4a98-9118-22187f4d230b,"TH, Isocortex",TH:87; Isocortex:31,2
a6fe3779-2b77-4b66-a625-a6078720e412,"TH, HPF, HY, MB",TH:101; HPF:30; HY:21; MB:13,4
a759e857-fd8f-4653-a397-c48547230427,"HB, CB",HB:168; CB:107,2
a85b9795-f99c-4c1d-a376-8b5ef095ffd7,"CNU, Isocortex",CNU:10; Isocortex:1,2
a8a59fc3-a658-4db4-b5e8-09f1e4df03fd,"MB, Isocortex, HPF",MB:96; Isocortex:17; HPF:16,3
a8adabd7-7979-4fcf-99e7-d9bd9d27896f,CNU,CNU:22,1
a91e4882-d3aa-4339-8b14-e94fa419f328,"HB, MB",HB:68; MB:2,2
a94a0023-d461-49fa-8cc6-032237039c27,"MB, HPF",MB:183; HPF:23,2
a9c9df46-85f3-46ad-848d-c6b8da4ae67c,"Isocortex, HPF",Isocortex:63; HPF:47,2
a9e83d8a-7c90-4152-abad-53a1ad94d73a,"CNU, Isocortex, TH",CNU:13; Isocortex:4; TH:3,3
aab5be05-5c1c-4c08-9739-1274bc3bcf4f,"MB, TH, HY, HPF",MB:53; TH:27; HY:12; HPF:1,4
aac3b928-e99a-4039-ace1-af45d0130d82,"Isocortex, HPF",Isocortex:20; HPF:7,2
ac088ddb-9e1e-49ae-b341-46a8445cf809,"TH, HY, CNU",TH:45; HY:10; CNU:1,3
ac680ec5-6f89-4739-9848-9d76fc0e017f,"MB, Isocortex, HB",MB:64; Isocortex:5; HB:1,3
ac839451-05bc-493e-b167-558b2b195baa,"Isocortex, MB, HPF",Isocortex:59; MB:56; HPF:19,3
acf04c3f-650a-4de0-b0d0-edf695dd2025,Isocortex,Isocortex:94,1
ad256265-03f2-4b4e-954b-0ba0c5cf6707,TH,TH:98,1
ad315779-2b39-46c4-8348-b166e796fa7c,Isocortex,Isocortex:61,1
ad714133-1e03-4d3a-8427-33fc483daf1a,"TH, Isocortex, HPF",TH:109; Isocortex:32; HPF:25,3
adca9242-0725-41d4-8eb1-5655a464431d,"Isocortex, CNU",Isocortex:58; CNU:56,2
adcd791c-ead3-4572-a9cb-028bbee1d2e4,"CNU, OLF, Isocortex",CNU:94; OLF:92; Isocortex:66,3
ae03524f-e493-4077-99b1-588244de9a98,"MB, HY",MB:68; HY:7,2
ae2b9f1b-ebe3-4b56-8957-31982186e6ec,"CNU, Isocortex",CNU:51; Isocortex:31,2
aeb06797-fddf-4ad2-b0ef-dd1b0f54d034,"MB, HB",MB:61; HB:32,2
aec2b14f-5dbc-400b-bf2e-dd13e711e2ff,"TH, Isocortex, CNU",TH:32; Isocortex:24; CNU:10,3
aecd7612-b5c5-4ad2-9e76-e5b783387e47,"CB, HB",CB:49; HB:24,2
af1e9dee-8c26-4b2b-ac43-358221048797,"HY, CNU, TH",HY:51; CNU:31; TH:3,3
af2a0072-e17e-4368-b80b-1359bf6d4647,"CNU, Isocortex",CNU:64; Isocortex:57,2
af775340-53d0-43cd-9cda-48e32b95adca,"TH, Isocortex",TH:20; Isocortex:12,2
afe87fbb-3a17-461f-b333-e22903f1d70d,"TH, HPF, Isocortex, MB",TH:133; HPF:49; Isocortex:32; MB:4,4
afecbc7f-10e3-40af-b091-cca9e8df6108,"HPF, Isocortex",HPF:35; Isocortex:24,2
b114e7e0-92b3-43bb-9529-53860e52606d,"HPF, Isocortex",HPF:164; Isocortex:83,2
b1455ca8-3999-4eb8-9e1e-5c8d0d2e5719,"HPF, Isocortex",HPF:19; Isocortex:6,2
b25799a5-09e8-4656-9c1b-44bc9cbb5279,"TH, HPF, Isocortex",TH:130; HPF:13; Isocortex:5,3
b2ea68e2-c732-4d17-8166-1a8595fff225,Isocortex,Isocortex:109,1
b3065f45-7227-4099-9f8c-7e81e677d8cf,CB,CB:123,1
b33e4298-a735-4781-8dea-d7203b4137fb,"CNU, HY, TH",CNU:20; HY:11; TH:11,3
b375a0ee-4c5a-4a53-9cea-d753f206e5c5,"Isocortex, CNU",Isocortex:71; CNU:1,2
b40d8c65-7ee8-4069-8b64-1a3f7907742f,"MB, Isocortex, HPF",MB:62; Isocortex:28; HPF:12,3
b4131145-9675-4433-88e1-9ae016c701dd,"Isocortex, TH, HPF",Isocortex:91; TH:63; HPF:23,3
b45c8f3f-6361-41df-9bc1-9df98b3d30e6,"TH, MB, HPF",TH:26; MB:23; HPF:13,3
b46e219c-6a87-4a93-9924-1070841381e9,"TH, Isocortex",TH:44; Isocortex:43,2
b543e81e-4c8f-415e-82ec-631b177d19d2,"MB, Isocortex",MB:42; Isocortex:40,2
b549e337-acc5-4837-9c56-e53b173fe5fe,"Isocortex, CNU, OLF",Isocortex:82; CNU:28; OLF:28,3
b72b22c2-6e9d-4604-9910-20c0e1a467d7,"Isocortex, HPF",Isocortex:20; HPF:15,2
b73ef9cf-462c-4de3-ae61-5907790ebd0e,"HPF, TH",HPF:65; TH:34,2
b749446c-18e3-4987-820a-50649ab0f826,"TH, Isocortex, HPF",TH:39; Isocortex:38; HPF:19,3
b7612153-372f-415a-9770-7101fbbbdc59,"TH, Isocortex",TH:34; Isocortex:24,2
b76f24ea-95b1-4a0e-95eb-9c39b1283c40,"MB, HPF, Isocortex",MB:51; HPF:46; Isocortex:4,3
b78b3c42-eee5-47c6-9717-743b78c0b721,"HPF, Isocortex, TH",HPF:67; Isocortex:51; TH:10,3
b7c57ce1-a75b-410a-94b6-8abee5a92c4f,MB,MB:61,1
b83407f8-8220-46f9-9b90-a4c9f150c572,"MB, Isocortex, HPF",MB:139; Isocortex:49; HPF:27,3
b8dbd3af-a589-41e4-878c-3372eaa1a8f6,CNU,CNU:77,1
b8df4cc3-e973-4267-8cf8-a55cea77e1ac,"TH, HPF, CTXsp, HY, OLF",TH:71; HPF:39; CTXsp:25; HY:15; OLF:4,5
b8f3a7c3-b700-446b-8d29-69691c0e3b1d,"Isocortex, TH",Isocortex:54; TH:13,2
b910cbe2-0c68-40b2-b9f1-268e7c28320a,"CNU, HY",CNU:57; HY:16,2
b939cc85-6028-404a-995d-28c8405a07db,"MB, Isocortex",MB:65; Isocortex:1,2
b976e816-bc24-42e3-adf4-2801f1a52657,"HPF, CTXsp, OLF",HPF:30; CTXsp:25; OLF:10,3
b98f6b89-3de4-4295-be1c-59e465de1e32,"Isocortex, OLF, CNU, CTXsp",Isocortex:46; OLF:32; CNU:13; CTXsp:11,4
b9b101cf-24d3-4c2a-8464-bc91b9f0c767,"Isocortex, HPF, HB",Isocortex:25; HPF:13; HB:5,3
b9faf068-fd1c-4568-8a1a-f503eed6f726,"Isocortex, HPF, MB",Isocortex:18; HPF:11; MB:7,3
ba291bec-4492-4d7f-a6aa-483ebb64b3c3,"MB, Isocortex",MB:61; Isocortex:18,2
bb7a5967-56ae-4193-920d-142710b4f07d,"CNU, CTXsp, OLF, Isocortex",CNU:52; CTXsp:37; OLF:31; Isocortex:17,4
bbe6ebc1-d32f-42dd-a89c-211226737deb,"TH, Isocortex, HPF",TH:56; Isocortex:12; HPF:11,3
bbf6a51e-2999-4982-803f-8769db095dd2,"HB, CB, MB",HB:41; CB:29; MB:20,3
bc2f8bde-9498-41d7-b9db-83bd05cd34ba,"HB, CB",HB:98; CB:49,2
bdb2ec51-d948-4428-b2cc-2c6cd5bf5fe3,"CB, HB",CB:73; HB:2,2
be76cfe3-b2bb-4358-956b-0fad07215972,"TH, HY, Isocortex",TH:102; HY:29; Isocortex:3,3
be95fb3b-d607-409a-968e-98a3e9bcb577,"OLF, Isocortex, CNU",OLF:72; Isocortex:40; CNU:24,3
be9a2119-a4d7-4e62-82a1-b1a6623ecc99,HPF,HPF:79,1
bebe7c8f-0f34-4c3a-8fbb-d2a5119d2961,"TH, Isocortex",TH:55; Isocortex:7,2
bef05a5c-68c3-4513-87c7-b3151c88da8e,"TH, HY",TH:74; HY:13,2
bef552f5-efd8-4e98-8467-d54ac7c4ef41,"CNU, OLF, Isocortex, CTXsp",CNU:67; OLF:49; Isocortex:4; CTXsp:1,4
bf591043-03c2-48bb-9197-e17e85aaeb8f,"CNU, Isocortex",CNU:32; Isocortex:8,2
bf746764-78e0-4b9c-bdf6-65b6ff45745d,HY,HY:2,1
bf827e50-eed3-4984-908e-c48ffbeae7b5,Isocortex,Isocortex:62,1
bf99284f-dc34-4652-baf1-ffaa1cc7fb05,"CNU, HY",CNU:30; HY:7,2
bfda40f8-a7a7-47cd-a439-39fb5cd7873f,"HB, CB",HB:70; CB:14,2
c07d13ed-e387-4457-8e33-1d16aed3fd92,"TH, HPF, Isocortex, HY",TH:46; HPF:12; Isocortex:3; HY:1,4
c0c3bcca-6a79-47ef-becb-b1a157a3f2cb,"MB, HB",MB:44; HB:21,2
c0c3c95d-43c3-4e30-9ce7-0519d0473911,"HPF, Isocortex",HPF:11; Isocortex:1,2
c0e59477-43f0-4441-9f81-3a55ddad9dad,"HB, CB",HB:91; CB:54,2
c1014051-d06b-4f85-9887-e7c42a94baf2,"CNU, Isocortex",CNU:97; Isocortex:15,2
c16b8e98-100f-40ce-b417-b1524c7e1270,"HPF, Isocortex",HPF:38; Isocortex:28,2
c17772a9-21b5-49df-ab31-3017addea12e,"TH, HPF",TH:155; HPF:6,2
c2184312-2421-492b-bbee-e8c8e982e49e,"MB, HB",MB:57; HB:15,2
c2363000-27a6-461e-940b-15f681496ed8,"TH, Isocortex, HPF",TH:89; Isocortex:9; HPF:5,3
