pid,probe_regions_with_good_units,probe_region_good_unit_counts,n_regions_probe
117f0d28-3cc0-4837-9e3e-46db5bc3e662,"CNU, Isocortex",CNU:47; Isocortex:1,2
11a5a93e-58a9-4ed0-995e-52279ec16b98,"TH, Isocortex, HPF",TH:188; Isocortex:20; HPF:19,3
11f70c37-a546-439a-9fb7-da6b6ebfb0cb,CB,CB:119,1
12c0f3a9-518e-4dac-9651-5d95c2b4730f,"HPF, Isocortex",HPF:39; Isocortex:7,2
134e8241-f5d7-4ad7-a8c0-11b34f2eedc3,"TH, Isocortex",TH:10; Isocortex:2,2
143dd7cf-6a47-47a1-906d-927ad7fe9117,"TH, HPF, Isocortex",TH:74; HPF:7; Isocortex:2,3
15a2a63f-739d-4eb0-ab8f-fc95b6299b68,"HB, MB",HB:41; MB:36,2
16799c7a-e395-435d-a4c4-a678007e1550,"TH, Isocortex, HPF",TH:86; Isocortex:26; HPF:12,3
16ad5eef-3fa6-4c75-9296-29bf40c5cfaa,CB,CB:179,1
176b4fe3-f570-4d9f-9e25-a5d218f75c8b,"HPF, CB, Isocortex",HPF:20; CB:7; Isocortex:2,3
179ce6d0-e348-4257-b718-e58dd4134589,"HB, MB",HB:73; MB:41,2
17fa2600-6349-4b6f-a7e4-d8ea5558fa12,HPF,HPF:142,1
180d278e-1a49-42da-a624-24aa14b57a4e,"Isocortex, MB, HPF",Isocortex:67; MB:50; HPF:16,3
1841cf1f-725d-499e-ab8e-7f6fc8c308b6,HPF,HPF:34,1
1878c999-d523-474a-9d4e-8dde53d7324c,"HPF, CTXsp, CNU",HPF:34; CTXsp:29; CNU:5,3
188fe7d5-fd1c-494f-88bc-672d77b9779e,"Isocortex, TH, HPF",Isocortex:34; TH:17; HPF:12,3
18be19f9-6ca5-4fc8-9220-ba43c3e75905,"MB, TH, HPF, OLF",MB:124; TH:21; HPF:2; OLF:1,4
18d316bf-d322-4c5c-814e-a58147f7bf5f,"HPF, Isocortex",HPF:72; Isocortex:11,2
19137f8d-0f3b-4923-93ad-f741758e1b2e,"MB, HPF, Isocortex",MB:44; HPF:25; Isocortex:10,3
19c5b0d5-a255-47ff-9f8d-639e634a7b61,Isocortex,Isocortex:58,1
19c9caea-2df8-4097-92f8-0a2bad055948,"CNU, OLF, CTXsp",CNU:80; OLF:25; CTXsp:14,3
19e0bf1e-018e-40cb-9acd-af8f0f66bd4a,HPF,HPF:40,1
1a166c4f-4c53-422e-8473-b3cff85e6750,"MB, Isocortex, HPF",MB:60; Isocortex:30; HPF:17,3
1a276285-8b0e-4cc9-9f0a-a3a002978724,"Isocortex, CNU, CTXsp, OLF",Isocortex:81; CNU:47; CTXsp:30; OLF:1,4
1a60a6e1-da99-4d4e-a734-39b1d4544fad,"TH, HPF, Isocortex",TH:94; HPF:17; Isocortex:6,3
1a924329-65aa-465d-b201-c2dd898aebd0,"TH, HPF, HY",TH:109; HPF:17; HY:1,3
1ab86a7f-578b-4a46-9c9c-df3be97abcca,"Isocortex, CNU",Isocortex:48; CNU:43,2
1bd85dab-7a53-49d1-acd4-e82f9fd07cf6,"HPF, Isocortex",HPF:105; Isocortex:62,2
1bf5c05b-3654-4d5c-bac9-2b96edd12adf,"CNU, Isocortex, OLF",CNU:113; Isocortex:93; OLF:78,3
1c4e2ebd-59da-4527-9700-b4b2dad6dfb2,"CB, HB",CB:49; HB:31,2
1ca6cd06-1ed5-45af-b73a-017d5e7cff48,"CTXsp, HPF, OLF, TH",CTXsp:18; HPF:14; OLF:13; TH:13,4
1d237afc-ac2f-4bac-a163-a397fe09819f,"TH, HY, CNU",TH:24; HY:8; CNU:6,3
1d547041-230a-4af3-ba6a-7287de2bdec3,"CB, MB",CB:33; MB:27,2
1df6ebb3-9d16-4c0f-96cc-e1b1596d2006,"Isocortex, OLF",Isocortex:43; OLF:10,2
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,"HPF, CTXsp, OLF",HPF:77; CTXsp:17; OLF:5,3
1e176f17-d00f-49bb-87ff-26d237b525f1,"TH, HPF, Isocortex",TH:37; HPF:12; Isocortex:10,3
1ef94d02-d51a-491f-a313-1bb5238d6b8b,CNU,CNU:142,1
1f555fc6-5067-428b-a284-da6fb0b6b3a0,"Isocortex, MB",Isocortex:24; MB:15,2
1f5d62cb-814f-4ab2-b6af-7557ea04d56a,"MB, HPF, Isocortex",MB:50; HPF:30; Isocortex:15,3
1fa9efcf-def3-40b1-86ae-ca411da98ef2,"HPF, Isocortex",HPF:89; Isocortex:6,2
1ff5ce1f-5500-444b-ad5f-70f90dd22ac3,"HPF, Isocortex, CNU",HPF:21; Isocortex:2; CNU:1,3
20469b30-1cd8-4078-9883-a840a0f6d787,"Isocortex, CNU, OLF",Isocortex:39; CNU:19; OLF:9,3
2122d807-13ab-494e-a1cc-e55cf24d3e9f,"Isocortex, TH",Isocortex:44; TH:16,2
2201eb05-aebe-4bda-905e-b5cc1baf3840,"CB, HB",CB:105; HB:6,2
220bca21-4cf8-43f1-a213-71645899c571,"TH, HPF, HY",TH:45; HPF:10; HY:6,3
22609d51-0a6a-425d-a3ef-eeb43a9ba350,"HPF, Isocortex",HPF:217; Isocortex:5,2
22f26d69-0b30-450e-9618-ee801b720e0a,"TH, HY, HPF",TH:24; HY:6; HPF:2,3
234c9e15-79a4-4e8a-8263-8b06cfbcbe7d,"HB, CB",HB:108; CB:18,2
2400a2fa-0335-480b-ac8d-a478171f3a55,"MB, HPF, HB",MB:55; HPF:5; HB:2,3
24149f5c-2984-4b48-922b-3cd1452cd4bd,"MB, HB",MB:72; HB:54,2
2564dc27-4eda-4fc3-a151-c13475796ee1,"Isocortex, CNU, HY",Isocortex:127; CNU:75; HY:5,3
257d0357-76ed-4220-8d50-68da6efda72d,"Isocortex, HPF, MB",Isocortex:23; HPF:19; MB:1,3
25a9182c-4795-4768-af47-98975d2d2a8a,"HB, MB",HB:116; MB:3,2
25e75514-43e1-4c07-9fea-581bd203b55c,"HB, CB",HB:13; CB:9,2
26118c10-35dd-4ab1-9f0f-b9a89a1da070,"CNU, Isocortex",CNU:57; Isocortex:25,2
26af22bb-b295-4a45-8ed3-1700604c0708,"CNU, Isocortex",CNU:47; Isocortex:36,2
27109779-1b15-4d74-893f-08216d231307,"MB, HPF, Isocortex, HB",MB:68; HPF:17; Isocortex:17; HB:2,4
2781c08e-a356-4a0d-8c28-4f94d1c87f69,"HB, CB",HB:131; CB:46,2
