task,model,target,oracle,family,r2,rmse,mae,pearson,n_bins,mean_trial_r2,median_trial_r2,n_trials
trial_holdout,b0_const,wheel_speed,False,cross,-1.8507550738622312e-06,0.9369831681251526,0.7338409423828125,,1016,-0.1048321442194137,-0.02929438160107,45
trial_holdout,b0_const,paw_speed,False,cross,-0.0041972703398525,605.9490356445312,423.383544921875,,1016,-0.1722058402633816,-0.0737340440907268,45
trial_holdout,b0_traj,wheel_speed,False,cross,0.3316593176616005,0.7660027742385864,0.5137656927108765,0.5766243468779049,1016,0.269425294993898,0.3889751740177923,45
trial_holdout,b0_traj,paw_speed,False,cross,0.135289182974474,562.2921752929688,333.2735290527344,0.3784350776174361,1016,0.1339679986932484,0.3399681215546916,45
trial_holdout,b1,wheel_speed,False,cross,0.0503389914552522,0.9130944609642028,0.7476840019226074,0.2586176134650975,1016,-0.1073425254469075,0.0153698420867816,45
trial_holdout,b1,paw_speed,False,cross,0.097008194359486,574.603759765625,413.6491088867187,0.3687012659333417,1016,-0.1307090482866039,-0.0469016309289573,45
trial_holdout,b2,wheel_speed,False,cross,0.0605778185611074,1.0254895687103271,0.8803595900535583,0.292472898583991,611,-0.7657652719205253,-0.0574296253656485,27
trial_holdout,b2,paw_speed,False,cross,0.1269084376395848,625.6080322265625,445.5486755371094,0.4253205042005261,611,-0.2535878348836938,-0.2290751364264518,27
trial_holdout,b3,wheel_speed,False,cross,0.0813441047492397,0.8980650901794434,0.7018990516662598,0.2901729630337055,1016,-0.0804173512833306,0.0153205287555916,45
trial_holdout,b3,paw_speed,False,cross,0.0894557281380012,577.0017700195312,382.1999206542969,0.3376182701339797,1016,-0.054981790941642,-0.0226670270799564,45
trial_holdout,b6,wheel_speed,False,cross,0.3457119504938268,0.757906973361969,0.5389447808265686,0.6452549949664363,1016,0.17137575054238,0.5096809542057159,45
trial_holdout,b6,paw_speed,False,cross,0.2339082722232316,529.2574462890625,335.2779846191406,0.4864378715462755,1016,0.0825424371466344,0.250041404640512,45
trial_holdout,b7,wheel_speed,False,cross,0.4235668762049777,0.7113869190216064,0.4660610258579254,0.6679113111408737,1016,0.2604685833134014,0.5788029020098935,45
trial_holdout,b7,paw_speed,False,cross,0.3574347116734888,484.7136535644531,281.63714599609375,0.6029106564866805,1016,0.2437612695250977,0.4166679171649087,45
trial_holdout,b9,wheel_speed,False,within,0.2566729485087027,0.8078325986862183,0.5801730155944824,0.5556382885893072,1016,0.0304297739386066,0.3945256918833311,45
trial_holdout,b9,paw_speed,False,within,0.3865988692044414,473.5860290527344,300.99920654296875,0.6235777512236472,1016,0.2514006745526806,0.3338850356221915,45
trial_holdout,b10,wheel_speed,False,within,0.3867961532444304,0.7337258458137512,0.4814787805080414,0.6911066260398697,1016,0.1757625725415589,0.5700653301072622,45
trial_holdout,b10,paw_speed,False,within,0.4151252317991012,462.44281005859375,276.10015869140625,0.6448060127659859,1016,0.2377071636437407,0.3374586419245827,45
trial_holdout,bwm,wheel_speed,False,within,0.2925535256201669,0.9062250256538392,0.6621020436286926,0.6038445393722816,566,-1.415216585249525,0.1316516122972506,24
trial_holdout,bwm,paw_speed,False,within,0.3439777613969446,547.1239624023438,357.3017578125,0.6194976501445267,566,-0.0381123334207891,0.0183168632979986,24
