subject,dataset_mouse_id,lab,n_sessions,n_probes,n_good_units,mouse_regions_with_good_units,n_regions_mouse,n_sessions_raw_lfp,n_sessions_dlc,n_sessions_lightning_pose,n_sessions_dlc_and_lightning_pose,n_sessions_no_pose_keypoints,n_trials_total,n_trials_bwm_include,n_trials_excluded_from_bwm,bwm_trial_inclusion_fraction
SWC_060,sub-SWC_060,hoferlab,3,6,404,"CNU, HPF, HY, MB, TH",5,3,3,3,3,0,1732,1301,431,0.751155
SWC_061,sub-SWC_061,hoferlab,3,6,483,"CNU, CTXsp, HPF, HY, Isocortex, MB, OLF, TH",8,3,3,3,3,0,1785,1203,582,0.67395
SWC_066,sub-SWC_066,hoferlab,2,2,22,"CB, CTXsp, HPF",3,2,2,2,2,0,1348,1048,300,0.777448
ZFM-01576,sub-ZFM-01576,mainenlab,2,3,537,"CB, HB, HPF, Isocortex, MB, TH",6,2,2,2,2,0,1855,1206,649,0.650135
ZFM-01577,sub-ZFM-01577,mainenlab,3,5,641,"CB, HB, HPF, Isocortex, MB, TH",6,3,3,3,3,0,1899,1388,511,0.730911
ZFM-01592,sub-ZFM-01592,mainenlab,3,5,935,"CB, CTXsp, HB, HPF, HY, OLF, TH",7,3,3,3,3,0,2726,1939,787,0.711299
ZFM-01935,sub-ZFM-01935,mainenlab,4,5,692,"CNU, CTXsp, HPF, HY, Isocortex, MB, TH",7,4,4,4,4,0,3150,1790,1360,0.568254
ZFM-01936,sub-ZFM-01936,mainenlab,5,6,827,"CNU, HPF, HY, Isocortex, OLF, TH",6,5,5,5,5,0,2570,1501,1069,0.584047
ZFM-01937,sub-ZFM-01937,mainenlab,2,2,217,"CNU, Isocortex",2,2,2,2,2,0,1233,933,300,0.756691
ZFM-02368,sub-ZFM-02368,mainenlab,1,2,372,"CNU, HPF, HY, Isocortex, TH",5,1,1,1,1,0,408,271,137,0.664216
ZFM-02369,sub-ZFM-02369,mainenlab,1,2,474,"CB, HB, HPF, Isocortex, TH",5,1,1,1,1,0,733,377,356,0.514325
ZFM-02370,sub-ZFM-02370,mainenlab,2,2,356,"CNU, CTXsp, Isocortex, OLF",4,2,2,2,2,0,1367,1011,356,0.739576
ZFM-02372,sub-ZFM-02372,mainenlab,2,3,247,"CB, HB, HPF, HY, MB, TH",6,2,2,2,2,0,1068,829,239,0.776217
ZFM-02373,sub-ZFM-02373,mainenlab,1,2,367,"HPF, Isocortex, TH",3,1,1,1,1,0,424,277,147,0.653302
ZFM-04308,sub-ZFM-04308,mainenlab,2,3,253,"CB, HPF, Isocortex, MB",4,2,2,2,2,0,817,503,314,0.615667
ZM_1897,sub-ZM_1897,mainenlab,2,3,668,"HPF, Isocortex, OLF, TH",4,2,0,0,0,2,961,766,195,0.797086
ZM_1898,sub-ZM_1898,mainenlab,2,2,203,"CNU, CTXsp, OLF, TH",4,2,2,2,2,0,1398,703,695,0.502861
ZM_2240,sub-ZM_2240,mainenlab,4,6,1153,"CNU, HPF, HY, Isocortex, MB, OLF, TH",7,4,4,4,4,0,2777,1885,892,0.67879
ZM_2241,sub-ZM_2241,mainenlab,5,9,1550,"CNU, CTXsp, HPF, HY, Isocortex, MB, OLF, TH",8,5,5,5,5,0,3647,2383,1264,0.653414
ZM_2245,sub-ZM_2245,mainenlab,1,2,201,"CNU, HPF, HY, Isocortex, MB, TH",6,1,1,1,1,0,872,680,192,0.779817
ZM_3003,sub-ZM_3003,mainenlab,2,4,271,"CNU, HPF, HY, Isocortex, MB, TH",6,2,2,2,2,0,1236,901,335,0.728964
SWC_038,sub-SWC_038,mrsicflogellab,3,6,724,"CNU, CTXsp, HPF, Isocortex, MB, OLF, TH",7,3,2,2,2,1,2257,1553,704,0.688082
SWC_039,sub-SWC_039,mrsicflogellab,1,2,207,"CB, CNU, CTXsp, HB, HPF",5,1,1,1,1,0,403,260,143,0.645161
SWC_052,sub-SWC_052,mrsicflogellab,7,13,802,"CB, HB, HPF, Isocortex, MB, TH",6,7,7,7,7,0,4068,2429,1639,0.597099
SWC_053,sub-SWC_053,mrsicflogellab,3,5,256,"CB, HB, HPF, MB",4,3,3,3,3,0,1533,870,663,0.567515
SWC_054,sub-SWC_054,mrsicflogellab,6,10,1039,"CB, HB, HPF, HY, Isocortex, MB, TH",7,6,6,6,6,0,3915,2779,1136,0.709834
SWC_058,sub-SWC_058,mrsicflogellab,4,7,778,"CB, HB, HPF, Isocortex, TH",5,4,4,4,4,0,2872,1816,1056,0.632312
SWC_065,sub-SWC_065,mrsicflogellab,1,1,59,"CB, HB",2,1,1,1,1,0,839,634,205,0.755662
NR_0017,sub-NR_0017,steinmetzlab,1,1,60,"HPF, HY, TH",3,1,1,1,1,0,911,678,233,0.744237
NR_0019,sub-NR_0019,steinmetzlab,3,5,459,"HPF, HY, Isocortex, MB, TH",5,3,3,3,3,0,1959,1554,405,0.793262
NR_0020,sub-NR_0020,steinmetzlab,4,7,700,"CTXsp, HPF, Isocortex, MB, OLF, TH",6,4,4,4,4,0,2573,2033,540,0.790128
NR_0021,sub-NR_0021,steinmetzlab,3,6,384,"CNU, HPF, Isocortex, MB, OLF, TH",6,3,3,3,3,0,1653,1227,426,0.742287
NR_0024,sub-NR_0024,steinmetzlab,4,7,576,"CNU, CTXsp, HB, HPF, HY, Isocortex, MB, OLF, TH",9,4,4,4,4,0,2426,1462,964,0.602638
NR_0027,sub-NR_0027,steinmetzlab,4,7,630,"CNU, CTXsp, HPF, HY, Isocortex, MB, OLF, TH",8,4,4,4,4,0,4119,2528,1591,0.613741
NR_0028,sub-NR_0028,steinmetzlab,5,7,943,"HB, HPF, Isocortex, MB",4,5,5,5,5,0,4324,3240,1084,0.749306
NR_0029,sub-NR_0029,steinmetzlab,5,5,115,"HPF, HY, MB, TH",4,5,5,5,5,0,2191,1594,597,0.727522
NR_0031,sub-NR_0031,steinmetzlab,2,4,390,"HPF, Isocortex, MB, TH",4,2,2,2,2,0,893,619,274,0.693169
ibl_witten_13,sub-ibl_witten_13,wittenlab,3,4,567,"CNU, HPF, HY, Isocortex, MB, TH",6,3,2,2,2,1,2420,1788,632,0.738843
ibl_witten_17,sub-ibl_witten_17,wittenlab,3,3,153,"CB, CNU, HB, Isocortex, TH",5,3,2,2,2,1,2237,1589,648,0.710326
ibl_witten_18,sub-ibl_witten_18,wittenlab,3,3,327,"CNU, CTXsp, Isocortex, OLF, TH",5,3,3,3,3,0,2373,1392,981,0.586599
ibl_witten_19,sub-ibl_witten_19,wittenlab,3,4,295,"CNU, Isocortex, MB, OLF",4,3,3,3,3,0,1688,1232,456,0.729858
ibl_witten_20,sub-ibl_witten_20,wittenlab,3,4,635,"CB, HB, HPF, Isocortex, MB",5,3,3,3,3,0,2879,2000,879,0.694686
ibl_witten_25,sub-ibl_witten_25,wittenlab,1,2,308,"CB, HB, HPF, Isocortex",4,1,1,1,1,0,563,353,210,0.626998
ibl_witten_26,sub-ibl_witten_26,wittenlab,5,8,900,"CB, CNU, CTXsp, HB, HPF, Isocortex, TH",7,5,5,5,5,0,3804,1829,1975,0.48081
ibl_witten_27,sub-ibl_witten_27,wittenlab,6,11,962,"CB, CTXsp, HB, HPF, HY, Isocortex, MB, OLF, TH",9,6,5,5,5,1,4118,2838,1280,0.689169
