subject,dataset_mouse_id,lab,date,session_number,eid,n_probes,n_good_units,probes,session_regions_with_good_units,session_region_good_unit_counts,n_regions_session,raw_lfp_available,raw_lfp_probes,n_raw_lfp_probes,dlc_available,dlc_views,lightning_pose_available,lightning_pose_views,pose_keypoints_available,n_trials_total,n_trials_bwm_include,n_trials_excluded_from_bwm,bwm_trial_inclusion_fraction
NYU-37,sub-NYU-37,angelakilab,2021-02-01,1,21d21fc3-4201-4edc-802a-c67b61952548,1,61,probe00,MB,MB:61,1,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,548,378,170,0.689781
NYU-39,sub-NYU-39,angelakilab,2021-05-10,1,6ed57216-498d-48a6-b48b-a243a34710ea,2,156,"probe00, probe01","HB, TH, MB, Isocortex, HPF",HB:66; TH:62; MB:17; Isocortex:5; HPF:3,5,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,541,439,102,0.81146
NYU-39,sub-NYU-39,angelakilab,2021-05-11,1,35ed605c-1a1a-47b1-86ff-2b56144f55af,2,195,"probe00, probe01","HPF, CNU, Isocortex",HPF:99; CNU:47; Isocortex:45,3,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,522,403,119,0.772031
NYU-39,sub-NYU-39,angelakilab,2021-05-12,1,fa1f26a1-eb49-4b24-917e-19f02a18ac61,2,129,"probe00, probe01","HB, MB, CNU, Isocortex, TH",HB:44; MB:38; CNU:13; Isocortex:4; TH:3,5,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,605,504,101,0.833058
NYU-39,sub-NYU-39,angelakilab,2021-05-13,2,ee212778-3903-4f5b-ac4b-a72f22debf03,2,146,"probe00, probe01","HB, MB, CNU, Isocortex",HB:55; MB:29; CNU:12; Isocortex:2,4,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,522,339,183,0.649425
NYU-39,sub-NYU-39,angelakilab,2021-05-14,1,91a3353a-2da1-420d-8c7c-fad2fedfdd18,2,68,"probe00, probe01","CNU, OLF, CTXsp, Isocortex",CNU:30; OLF:12; CTXsp:11; Isocortex:4,4,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,508,363,145,0.714567
NYU-40,sub-NYU-40,angelakilab,2021-04-13,1,5157810e-0fff-4bcf-b19d-32d4e39c7dfc,2,186,"probe00, probe01","HB, MB, CB",HB:106; MB:61; CB:9,3,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,434,202,232,0.465438
NYU-40,sub-NYU-40,angelakilab,2021-04-14,1,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,2,136,"probe00, probe01","HPF, Isocortex",HPF:131; Isocortex:5,2,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,546,291,255,0.532967
NYU-40,sub-NYU-40,angelakilab,2021-04-15,1,71855308-7e54-41d7-a7a4-b042e78e3b4f,2,421,"probe00, probe01","CB, HB",CB:210; HB:102,2,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,516,257,259,0.498062
NYU-40,sub-NYU-40,angelakilab,2021-04-16,2,f359281f-6941-4bfd-90d4-940be22ed3c3,2,63,"probe00, probe01",CB,CB:60,1,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,463,239,224,0.516199
NYU-45,sub-NYU-45,angelakilab,2021-07-19,1,51e53aff-1d5d-4182-a684-aba783d50ae5,2,265,"probe00, probe01","MB, TH, HPF, Isocortex, OLF",MB:124; TH:115; HPF:19; Isocortex:6; OLF:1,5,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,505,189,316,0.374257
NYU-45,sub-NYU-45,angelakilab,2021-07-20,2,537677fe-1e24-4755-948c-fa4a4e8ecce5,2,230,"probe00, probe01","CB, Isocortex, MB, HB",CB:82; Isocortex:67; MB:26; HB:3,4,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,474,234,240,0.493671
NYU-45,sub-NYU-45,angelakilab,2021-07-23,1,5bcafa14-71cb-42fa-8265-ce5cda1b89e0,2,206,"probe00, probe01","HB, MB, CB",HB:144; MB:31; CB:14,3,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,436,133,303,0.305046
NYU-46,sub-NYU-46,angelakilab,2021-06-22,1,d32876dd-8303-4720-8e7e-20678dc2fd71,1,32,probe00,"Isocortex, OLF",Isocortex:24; OLF:7,2,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,424,128,296,0.301887
NYU-46,sub-NYU-46,angelakilab,2021-06-23,1,72982282-e493-45ee-87ce-aa45cb3a3ec1,2,81,"probe00, probe01","CB, Isocortex, CNU",CB:36; Isocortex:27; CNU:13,3,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,491,244,247,0.496945
NYU-46,sub-NYU-46,angelakilab,2021-06-24,1,6434f2f5-6bce-42b8-8563-d93d493613a2,1,87,probe00,"Isocortex, OLF, CTXsp, CNU",Isocortex:35; OLF:30; CTXsp:12; CNU:6,4,True,probe00,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,401,197,204,0.491272
NYU-46,sub-NYU-46,angelakilab,2021-06-25,1,64e3fb86-928c-4079-865c-b364205b502e,1,25,probe01,Isocortex,Isocortex:25,1,True,probe01,1,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,533,341,192,0.639775
NYU-47,sub-NYU-47,angelakilab,2021-06-22,1,15948667-747b-4702-9d53-354ac70e9119,2,287,"probe00, probe01","HB, CB, MB",HB:133; CB:88; MB:7,3,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,439,184,255,0.419134
NYU-47,sub-NYU-47,angelakilab,2021-06-24,3,288bfbf3-3700-4abe-b6e4-130b5c541e61,2,58,"probe00, probe01","HB, CB, TH, Isocortex, CNU",HB:24; CB:16; TH:9; Isocortex:2; CNU:1,5,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,503,354,149,0.703777
NYU-47,sub-NYU-47,angelakilab,2021-06-25,1,fc43390d-457e-463a-9fd4-b94a0a8b48f5,2,135,"probe00, probe01","TH, CB, HB, CNU, Isocortex",TH:59; CB:17; HB:15; CNU:2; Isocortex:2,5,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,581,411,170,0.707401
NYU-48,sub-NYU-48,angelakilab,2021-06-29,1,a405053a-eb13-4aa4-850c-5a337e5dc7fd,2,79,"probe00, probe01","HPF, Isocortex, CNU",HPF:35; Isocortex:31; CNU:11,3,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,615,478,137,0.777236
NYU-48,sub-NYU-48,angelakilab,2021-07-01,1,93ad879a-aa42-4150-83e1-38773c9785e4,2,312,"probe00, probe01","CB, HB, MB",CB:121; HB:103; MB:65,3,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,551,419,132,0.760436
NYU-48,sub-NYU-48,angelakilab,2021-07-02,1,3d59aa1a-b4ba-47fe-b9cf-741b5fdb0c7b,2,166,"probe00, probe01","MB, HB, TH, Isocortex, HPF",MB:61; HB:32; TH:31; Isocortex:25; HPF:8,5,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,709,446,263,0.629055
NYU-65,sub-NYU-65,angelakilab,2022-09-12,2,a2ec6341-c55f-48a0-a23b-0ef2f5b1d71e,2,183,"probe00, probe01","CB, TH, HPF, HB, Isocortex",CB:77; TH:58; HPF:22; HB:14; Isocortex:3,5,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,411,248,163,0.603406
NYU-65,sub-NYU-65,angelakilab,2022-09-15,1,8c025071-c4f3-426c-9aed-f149e8f75b7b,2,242,"probe00, probe01","CB, HB",CB:197; HB:39,2,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,531,297,234,0.559322
NYU-65,sub-NYU-65,angelakilab,2022-09-16,1,bb8d9451-fdbd-4f46-b52e-9290e8f84d2e,2,290,"probe00, probe01","CB, HB",CB:198; HB:86,2,True,"probe00, probe01",2,True,"body, left, right",True,"body, left, right",DLC + Lightning Pose,503,302,201,0.600398
CSHL045,sub-CSHL045,churchlandlab,2020-02-24,1,034e726f-b35f-41e0-8d6c-a22cc32391fb,2,140,"probe00, probe01","TH, Isocortex, HPF, HY, CNU",TH:97; Isocortex:19; HPF:9; HY:5; CNU:1,5,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,589,440,149,0.747029
CSHL045,sub-CSHL045,churchlandlab,2020-02-25,2,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,1,91,probe01,"TH, CNU",TH:29; CNU:28,2,True,probe01,1,True,"left, right",True,"left, right",DLC + Lightning Pose,528,379,149,0.717803
CSHL045,sub-CSHL045,churchlandlab,2020-02-26,1,fa704052-147e-46f6-b190-a65b837e605e,2,136,"probe00, probe01","MB, Isocortex, HB, HPF",MB:57; Isocortex:36; HB:27; HPF:5,4,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,1007,749,258,0.743793
CSHL045,sub-CSHL045,churchlandlab,2020-02-27,1,46794e05-3f6a-4d35-afb3-9165091a5a74,1,131,probe01,"HB, CB",HB:76; CB:24,2,True,probe01,1,True,"left, right",True,"left, right",DLC + Lightning Pose,807,533,274,0.660471
CSHL045,sub-CSHL045,churchlandlab,2020-02-28,1,7939711b-8b4d-4251-b698-b97c1eaa846e,1,233,probe01,"HB, CB",HB:119; CB:94,2,True,probe01,1,True,"left, right",True,"left, right",DLC + Lightning Pose,1019,580,439,0.569185
CSHL047,sub-CSHL047,churchlandlab,2020-01-21,1,b52182e7-39f6-4914-9717-136db589706e,2,159,"probe00, probe01","Isocortex, HPF, MB",Isocortex:60; HPF:55; MB:37,3,True,"probe00, probe01",2,True,"left, right",True,"left, right",DLC + Lightning Pose,700,463,237,0.661429
