eid,mouse_id,session_date,target,r2,r2_corrected,null_median,p_shuffle,n_trials,n_units
ebe2efe3-e8a1-451a-8947-76ef42427cc9,NYU-21,2020-08-19,wheel_speed,-0.266,0.07,-0.336,0.5,31,16
ee8b36de-779f-4dea-901f-e0141c95722b,DY_014,2020-07-18,wheel_speed,0.194,0.3349999999999999,-0.141,0.167,23,71
ee8b36de-779f-4dea-901f-e0141c95722b,DY_014,2020-07-18,paw_speed,0.124,0.317,-0.193,0.167,23,71
ee8b36de-779f-4dea-901f-e0141c95722b,DY_014,2020-07-18,paw_speed_norm,0.12,0.38,-0.26,0.167,23,71
f3ce3197-d534-4618-bf81-b687555d1883,SWC_043,2020-09-15,wheel_speed,0.533,0.443,0.09,0.167,131,26
f3ce3197-d534-4618-bf81-b687555d1883,SWC_043,2020-09-15,paw_speed,0.317,0.273,0.044,0.167,131,26
f3ce3197-d534-4618-bf81-b687555d1883,SWC_043,2020-09-15,paw_speed_norm,0.334,0.326,0.008,0.167,131,26
f88d4dd4-ccd7-400e-9035-fa00be3bcfa8,NYU-37,2021-01-26,wheel_speed,0.133,0.188,-0.055,0.167,24,54
f88d4dd4-ccd7-400e-9035-fa00be3bcfa8,NYU-37,2021-01-26,paw_speed,0.253,0.333,-0.08,0.167,24,54
f88d4dd4-ccd7-400e-9035-fa00be3bcfa8,NYU-37,2021-01-26,paw_speed_norm,0.253,0.352,-0.099,0.167,24,54
fb70ebf7-8175-42b0-9b7a-7c6e8612226e,CSHL058,2020-07-08,wheel_speed,0.567,0.579,-0.012,0.167,155,66
fb70ebf7-8175-42b0-9b7a-7c6e8612226e,CSHL058,2020-07-08,paw_speed,0.463,0.453,0.01,0.167,154,66
fb70ebf7-8175-42b0-9b7a-7c6e8612226e,CSHL058,2020-07-08,paw_speed_norm,0.476,0.485,-0.009,0.167,154,66
