task,pool,target,ablation,n_folds,r2_mean,r2_std,r2_median,mean_trial_r2_mean,mean_trial_r2_std,mean_trial_r2_median,median_trial_r2_mean,median_trial_r2_std,median_trial_r2_median,rmse_mean,rmse_std,rmse_median,mae_mean,mae_std,mae_median,pearson_mean,pearson_std,pearson_median
mouse_lomo,attn,paw_speed,none,32,0.04619616816299251,0.2232623950937887,0.10501037531796945,-25.287623355762076,108.3079627590578,-0.2324490961390653,0.022487230683982007,0.3521262445147697,0.138684661213629,611.2443437576294,136.8839245961846,564.2926635742188,384.7444477081299,63.097994938549384,384.21876525878906,0.4016428676963708,0.12061673650764863,0.42207065864736737
mouse_lomo,mean,paw_speed,none,32,0.03886344200798429,0.22695910273928332,0.10592136111282816,-21.744897642660202,81.85923402823043,-0.2015350547085844,0.026335527873815098,0.37174560199364676,0.1287677573457856,613.7671432495117,136.49560830950028,558.8001708984375,393.6243648529053,77.25900964497626,373.9264678955078,0.3904445740369594,0.1400025777007671,0.40236049658185014
session_loso,attn,paw_speed,none,52,0.03953422673687731,0.26242701530457574,0.10193357960965994,-22.095778147944827,136.47109606657068,-0.19612601494595294,-0.16442217032651144,1.636633451837086,0.09147399663813975,612.8997462346003,167.3241316401902,553.3988952636719,387.5020969097431,83.88344039389925,381.02085876464844,0.42103351593947314,0.13195286974301929,0.43937787519953975
session_loso,mean,paw_speed,none,52,0.06026635139914859,0.33724709331593833,0.08623005198023301,-30.059207906273606,194.4747837051137,-0.20441105914109586,-0.3539134762355519,3.2614717273486433,0.10104097604732246,603.1949322040265,157.74608082958798,558.7417602539062,380.2180651151217,89.79809411592542,382.7373046875,0.43700197459898693,0.1478761512469941,0.4360982316934882
trial_extrapolation,attn,paw_speed,none,50,-0.300601594274929,1.1442008077588401,0.026048407573202502,-2.002328445699586,7.443632091001629,-0.2888664152322161,0.02055405636906741,0.5137603893299071,0.11059083783840135,551.9898327636719,172.91149637858717,516.6585998535156,421.3946832275391,165.00673900392832,405.80580139160156,0.3907155060943083,0.20847330434101252,0.4154924766172275
trial_extrapolation,mean,paw_speed,none,50,-0.25739834964986186,0.9520143587081571,0.00038925208849062366,-2.014938115968211,7.255693222072791,-0.26591041278921185,0.033461844140852216,0.5111032079522935,0.15148483511000435,547.3946139526367,160.6201258793897,516.5426330566406,417.778918762207,143.0242928668285,403.3536376953125,0.39319398544371664,0.1888748426964467,0.3846848621524023
trial_repeat,attn,paw_speed,none,5,0.2424543581215053,0.06701545716437475,0.2355679671328626,-6.549520179689898,12.81011076903105,-1.8039144219550407,0.30187080975961017,0.1455510089280861,0.2547490404855099,594.1676086425781,76.99212987985202,585.9180297851562,372.318408203125,42.10774010891296,357.3326416015625,0.4936599240979088,0.0742204257537872,0.4860847569620337
trial_repeat,mean,paw_speed,none,5,0.2592510527560931,0.07180703155516749,0.2506641607224177,-8.556434123930675,17.280354740381316,-1.7417865673911892,0.31532395261783486,0.14986432836645894,0.2468451401815796,587.6735900878906,79.06473783537923,580.1036987304688,356.06065673828124,44.92164903418371,337.48492431640625,0.5092255758930759,0.07352220381900787,0.50150181261654
