task,pool,target,ablation,n_folds,r2_mean,r2_std,r2_median,mean_trial_r2_mean,mean_trial_r2_std,mean_trial_r2_median,median_trial_r2_mean,median_trial_r2_std,median_trial_r2_median,rmse_mean,rmse_std,rmse_median,mae_mean,mae_std,mae_median,pearson_mean,pearson_std,pearson_median
mouse_lomo,attn,paw_speed,a1,32,0.13392811261884133,0.24005064708376825,0.16880964990555505,-29.47009198660931,123.27133847318957,-0.15751479701151747,0.16462625861785918,0.40789847220722214,0.21458985871863084,584.3511056900024,143.3153570667031,540.8033142089844,365.43305683135986,73.69687832233923,337.36981201171875,0.4599099010651182,0.10754626468599446,0.4663784147044229
mouse_lomo,mean,paw_speed,a1,32,0.12664445990599088,0.23373772531150058,0.1796221557781367,-28.54897873775691,123.02989468015927,-0.07147072394344685,0.17557471630779725,0.3747036504234448,0.23172628029550107,585.7593927383423,138.59998056162868,539.4277954101562,367.6448287963867,67.0434371087645,355.17401123046875,0.45746664264416337,0.09809373182848928,0.46968293853560783
session_loso,attn,paw_speed,a1,52,0.13570636279349974,0.2677774714827339,0.1811183684724641,-25.316182517342593,141.21628690528365,-0.0035873346832780996,0.0064432583610622715,1.4629411614097774,0.20604689157517106,582.5120415320763,160.06664280327743,532.4251098632812,364.7666388291579,84.12609029435372,344.9092102050781,0.46502706519266285,0.12042037663155647,0.4895737272742457
session_loso,mean,paw_speed,a1,52,0.13380351593822223,0.2494436720474141,0.17809626555708408,-25.61498857000875,148.0438514534172,0.0046041175675298,0.01969437949022213,1.4714475884408043,0.2208954235569979,583.1773511446439,156.63074761245412,537.3878784179688,363.60315029437726,78.04383838470497,364.10887145996094,0.45883779751542925,0.11500653930166532,0.47909786867850146
trial_extrapolation,attn,paw_speed,a1,50,-0.17738000178878216,0.902380290489498,0.0961476156978686,-1.6899007978592173,6.188414998563917,-0.24814077001105755,0.05708972907960975,0.5938677829944924,0.17232272606439308,527.7438122558593,157.45586714389788,503.6431427001953,402.60851409912107,151.64399825497784,384.8453369140625,0.4684716628158025,0.1661319767067667,0.47911746306506775
trial_extrapolation,mean,paw_speed,a1,50,-0.2584630599321915,1.0225457727278218,0.01668658858323695,-2.0423465052615475,7.706295072578787,-0.2769842205674657,0.018676663615611214,0.6170349400889925,0.18678978710678484,543.0333972167969,168.45417052982404,514.0140380859375,414.4581332397461,158.3828077302915,404.5110321044922,0.43197969759367116,0.21592406141679832,0.48329491862571283
trial_repeat,attn,paw_speed,a1,5,0.22114770535303854,0.048193853481021016,0.2159156289023251,-5.281448604049016,10.556746247256951,-1.1388012388079467,0.2595622318810067,0.15174569304681487,0.236148698402092,601.8573974609375,67.06811588528599,589.223876953125,359.39891357421874,34.42417026766792,342.7047119140625,0.4713668179489125,0.04999809378723192,0.4668354729300438
trial_repeat,mean,paw_speed,a1,5,0.21460969324165555,0.04246561799261452,0.21501587823896,-6.127613701334993,11.898194655862536,-1.407992579854781,0.2989451831587177,0.1558079242210636,0.2462872607872545,604.304833984375,65.21555586398665,591.373291015625,368.35081787109374,36.756842079339194,347.2479248046875,0.4650397500414856,0.048104176678904,0.4651855576344743
