task,pool,target,ablation,n_folds,r2_mean,r2_std,r2_median,mean_trial_r2_mean,mean_trial_r2_std,mean_trial_r2_median,median_trial_r2_mean,median_trial_r2_std,median_trial_r2_median,rmse_mean,rmse_std,rmse_median,mae_mean,mae_std,mae_median,pearson_mean,pearson_std,pearson_median
mouse_lomo,attn,paw_vx,none,32,-0.1007781579786351,0.2153709190151568,-0.02293768547850875,-2.6773737662784924,7.210103450313245,-0.361990389390141,-0.34807397471153373,0.5685021575453406,-0.1804987867203119,644.562273979187,173.89250300949658,565.8609008789062,364.3672127723694,111.3516165320942,324.95106506347656,0.029310734311879475,0.09812635183727621,0.028047478615602403
mouse_lomo,mean,paw_vx,none,32,-0.08833048368217114,0.21276706618962316,-0.026956619070226347,-1.5736716138317774,3.3476001362576864,-0.37352451999507635,-0.3080672752916921,0.5105791024928716,-0.17904038475924916,640.8260822296143,171.24686500956398,564.9256286621094,360.36100816726685,98.04315941487275,325.86048889160156,0.04386741427679611,0.0975918400824188,0.019851447106969553
session_loso,attn,paw_vx,none,52,-0.08137571459898532,0.17452786645214827,-0.0263541241841043,-2.3547588772570824,7.932975982697211,-0.3507240507049093,-0.3131091890799528,0.44635723740720856,-0.2135725927451264,642.8792319664589,187.7532621433303,566.6411437988281,362.9238297389104,115.1971721441669,344.6115417480469,0.05513014867761653,0.11117430632381667,0.0393975871333094
session_loso,mean,paw_vx,none,51,-0.1219098295347902,0.30719023058159073,-0.0207585912082974,-1.9842797565466839,6.55507117503454,-0.3626678545114346,-0.3595782495198841,0.6408781024386253,-0.2044684395385847,653.612767238243,181.7190331701936,577.301025390625,371.49874114990234,113.7965822842048,356.8792724609375,0.041355077722875645,0.11821492429806513,0.0423286926123704
trial_extrapolation,attn,paw_vx,none,50,-0.21498717204701667,0.8095862862498648,-0.027739198546091,-0.8029666358152197,1.9898097069345668,-0.2983080388921661,-0.2253082910058418,0.39864519543723154,-0.1352631017095928,540.9147958374024,173.5881158348793,522.7083435058594,344.2478172302246,136.3493201534719,327.27272033691406,0.07629263802821287,0.13271888245625224,0.03536877942982285
trial_extrapolation,mean,paw_vx,none,50,-0.16679974478904455,0.5368034232057307,-0.025086196853678598,-0.8178682476208785,2.2287381053943025,-0.29399316454157165,-0.20348039935111506,0.3065446014426038,-0.1593700407378893,537.1581665039063,170.0522900535835,517.0651092529297,339.29720932006836,128.60097308547847,326.12188720703125,0.09440944975206371,0.12750951998889168,0.06837825982690315
trial_repeat,attn,paw_vx,none,5,0.051379351119069674,0.044534505099898036,0.0415108376426045,-2.0607511307113757,3.0117595367835457,-0.6885410702223551,-0.12121742142554917,0.12501989247334094,-0.0950645122215637,684.5886108398438,78.12203629547083,720.6553955078125,385.93101806640624,46.846997835249105,404.578857421875,0.23815654836290764,0.11728709044139476,0.2373606662372324
trial_repeat,mean,paw_vx,none,5,0.048005366177850305,0.04176834035030247,0.0602953186032626,-1.7943878896611196,2.723738762884478,-0.6723043118132077,-0.11890036977607141,0.12216313186799324,-0.0650045559278402,686.034912109375,80.37389503862626,713.4286499023438,387.7401489257812,48.91196022194217,400.367919921875,0.2149368962283927,0.11649072477788848,0.2461013229114813
