task,pool,target,ablation,n_folds,r2_mean,r2_std,r2_median,mean_trial_r2_mean,mean_trial_r2_std,mean_trial_r2_median,median_trial_r2_mean,median_trial_r2_std,median_trial_r2_median,rmse_mean,rmse_std,rmse_median,mae_mean,mae_std,mae_median,pearson_mean,pearson_std,pearson_median
mouse_lomo,attn,paw_vx,a1,32,-0.028514119747891982,0.03930665337372575,-0.0216391515174412,-1.6322808927669683,6.325893435502136,-0.29404118016631153,-0.18500824060762855,0.12222837375587647,-0.16899254104005423,628.6183853149414,174.01597188656572,564.6689758300781,340.00593662261963,103.52179879468865,312.99415588378906,0.06057328157694421,0.12767376654408757,0.05500660421604405
mouse_lomo,mean,paw_vx,a1,32,-0.021609789669535414,0.04036674418202533,-0.012003247582659651,-1.4497958245781046,5.58549056187023,-0.2774704686215511,-0.16658243673979822,0.11805228793810117,-0.1460324417980521,626.644344329834,174.4884814355631,558.9150695800781,340.87664890289307,101.69075784014986,308.4538879394531,0.08163258854813737,0.13945035750306795,0.0806067157965596
session_loso,attn,paw_vx,a1,52,-0.03246186529876967,0.04741313510497715,-0.0166861056848098,-2.021553323066741,10.989232967822398,-0.32660223054590076,-0.19964289712059916,0.15725251201074494,-0.1802515074886692,630.4603071946365,182.58930351870816,571.6126403808594,342.4413287823017,104.3196396033601,314.0010070800781,0.06471461627395164,0.13406046188986623,0.0715339052131074
session_loso,mean,paw_vx,a1,52,-0.027790697394074637,0.05075040486240307,-0.0144918788965459,-1.9142571498006289,10.576915337557104,-0.31448685015389266,-0.19902444209543596,0.22814187418887252,-0.14373121144817425,628.8281103280874,181.6292738944502,567.8515014648438,343.5574645996094,102.70316180497275,312.0711669921875,0.07511843832866069,0.1438371463907241,0.06948407916145
trial_extrapolation,attn,paw_vx,a1,50,-0.1881533704948927,0.7996052269679035,-0.023044106357089353,-0.7881549765585953,1.9496661532847264,-0.281577391543014,-0.1887658836179659,0.33608887960072387,-0.1460589187899148,535.0733865356445,174.5565351292543,510.8712615966797,337.43630126953127,131.39306865999012,310.41810607910156,0.1111684676368278,0.17792977791171638,0.06822331349127085
trial_extrapolation,mean,paw_vx,a1,50,-0.156059939454777,0.6329933171065831,-0.0207370091376547,-0.8150721665306677,1.963766355292395,-0.27748725092142495,-0.17687174048819593,0.3446493472553648,-0.13021561042297486,532.1544247436524,172.35386285097678,502.8861389160156,332.64538345336916,128.10082891062717,312.04835510253906,0.10576546904115469,0.1608334745354977,0.0636970465799466
trial_repeat,attn,paw_vx,a1,5,0.02295964582521602,0.01580898402983972,0.0220720520021157,-0.5304024103700866,0.5462577028483245,-0.3359724453600897,-0.10488821889300626,0.05384404544661712,-0.1202336005685291,695.1036499023437,80.20344105436364,727.7936401367188,378.5830993652344,47.63778490049522,394.1491394042969,0.1704183395550356,0.0868757295854319,0.1690581803699429
trial_repeat,mean,paw_vx,a1,5,0.03270306715483638,0.03233234564155604,0.0316023127983345,-0.9728702119921964,1.6180482653782353,-0.3457272277000027,-0.08562946313887673,0.06127929494253553,-0.1092488892169605,691.37001953125,78.0911664818136,730.01025390625,380.0553894042969,49.515777169860065,397.3559875488281,0.18255612938128132,0.11369954850378906,0.2183732137271254
