task,pool,target,ablation,n_folds,r2_mean,r2_std,r2_median,mean_trial_r2_mean,mean_trial_r2_std,mean_trial_r2_median,median_trial_r2_mean,median_trial_r2_std,median_trial_r2_median,rmse_mean,rmse_std,rmse_median,mae_mean,mae_std,mae_median,pearson_mean,pearson_std,pearson_median
mouse_lomo,attn,wheel_speed,none,32,0.1273997158811513,0.2789881947190318,0.20240283865195885,-0.07749743432533701,0.37907887801680074,0.0605528981819065,0.16851941620508554,0.38188452693911623,0.24454348931474762,0.8627582415938377,0.11753821484016654,0.8530867993831635,0.578998033888638,0.07343057315801713,0.5795339345932007,0.5150857208187862,0.15135101390197328,0.5250061920640712
mouse_lomo,mean,wheel_speed,none,32,0.20291183796755413,0.2517277932865498,0.2592689024511181,0.03026859554811952,0.31810878971916573,0.1226409379469087,0.27442351314888686,0.31688455767886886,0.2867749198161616,0.8279238194227219,0.13312964514308626,0.8250217139720917,0.5605314904823899,0.08718765930485413,0.5606500208377838,0.5412300394244178,0.12220121602241375,0.5413416486577096
session_loso,attn,wheel_speed,none,52,0.180281173034567,0.29076920046411026,0.22268016796581064,0.003931595685648281,0.38354504516137655,0.09051186889498031,0.2660968245069561,0.36320616284220963,0.3590454122914903,0.8361503905974902,0.12266607146284118,0.8204520046710968,0.5625670070831592,0.08300463096973677,0.5596485137939453,0.5529758709696677,0.12651262907890273,0.5615356063676435
session_loso,mean,wheel_speed,none,52,0.19379648943994177,0.2503709742209864,0.23658595465894244,0.0008921646791326676,0.34745286229808264,0.02360979981888405,0.29598999939097215,0.31221646785370316,0.39829394026758347,0.8330122725321696,0.12613791411563555,0.8215561509132385,0.5684497098510082,0.09280811965374529,0.5542422831058502,0.5583788239977762,0.11922390874820578,0.5441461595105417
trial_extrapolation,attn,wheel_speed,none,50,-0.29841486487896957,1.448447364059632,0.01366336109301585,-0.6540529550504276,1.906650260511796,-0.07707337577581955,0.06580749842378962,1.0716197228378606,0.2721792492780704,0.9331867712736129,0.3039294401549425,0.8493065536022186,0.7288640117645264,0.2805021440966101,0.6276263296604156,0.47419944987919466,0.1976435965391461,0.4772363668504055
trial_extrapolation,mean,wheel_speed,none,50,-0.31489328330557514,1.2322230504733322,-0.01612524673365375,-0.6987063102933402,1.7008209397535836,-0.1809588122652802,0.05627945873615301,0.9899853946949008,0.260870714104321,0.9535543543100357,0.28324236368137584,0.8762119710445404,0.7497084593772888,0.25616190894046276,0.6934473812580109,0.44736194597202866,0.19649386904645685,0.423785342028003
trial_repeat,attn,wheel_speed,none,5,0.31300415781303736,0.06524203834169627,0.2845104966662471,0.18918639560222905,0.08036927057365932,0.1901965431235055,0.4888487694553497,0.045923671365346946,0.4644977691159639,0.829212236404419,0.031889281864976485,0.8312007784843445,0.5573288202285767,0.029144924001133433,0.5475105047225952,0.5894865646544736,0.044087835491464424,0.5690341548415495
trial_repeat,mean,wheel_speed,none,5,0.3123505130314382,0.04662866893922815,0.2950422228159376,0.17523660749850828,0.056328641639946685,0.17268478030802,0.5000274231016261,0.06478387835827151,0.5054806442072575,0.8304476737976074,0.03327463809468362,0.8295435309410095,0.5547609925270081,0.01682030672479887,0.551216185092926,0.5857348562110214,0.03328591746009108,0.5681202985450499
