task,pool,target,ablation,n_folds,r2_mean,r2_std,r2_median,mean_trial_r2_mean,mean_trial_r2_std,mean_trial_r2_median,median_trial_r2_mean,median_trial_r2_std,median_trial_r2_median,rmse_mean,rmse_std,rmse_median,mae_mean,mae_std,mae_median,pearson_mean,pearson_std,pearson_median
mouse_lomo,attn,paw_vz,none,32,-0.1574541262163614,0.289909032565649,-0.05410091097913045,-4.33210381631779,10.20235584795129,-0.606585673087215,-0.7291984997249061,1.1251507327080033,-0.320562578527951,705.3454608917236,264.768355115687,614.890625,366.07113766670227,178.02433357266216,304.7796173095703,-0.018344026718619566,0.08825134735744904,-0.0038459889575235503
mouse_lomo,mean,paw_vz,none,32,-0.11884699499197329,0.2559373667349208,-0.0489131983875387,-4.154300183534303,11.824950855766009,-0.696564176304534,-0.5227349604250606,0.8893560136038801,-0.27107863498720974,697.5768013000488,270.8527762376799,595.810302734375,360.38352131843567,189.2452213033992,291.99729919433594,-0.013064400301970817,0.06840927612899828,-0.00929911671383535
session_loso,attn,paw_vz,none,52,-0.11329918985470812,0.28942349368132714,-0.04385642428197105,-3.3266953144464133,10.22252890485548,-0.5399373408499879,-0.5737049892516985,1.1575148242781303,-0.26420700842824285,712.9245758056641,265.7438411049498,620.2656555175781,366.2820299588717,175.47995852984337,333.5690155029297,0.002205408799144329,0.13339101286009253,-0.00801727442593775
session_loso,mean,paw_vz,none,52,-0.10345905585086036,0.26065349000104227,-0.01942853106719675,-3.7189297932430656,12.639111908505795,-0.5867382565445574,-0.5794441947830715,1.0564038580876072,-0.21646696277653255,708.6743874183068,258.2002416510913,623.7297973632812,361.41809698251575,161.39809464605923,326.6823425292969,0.012832923700927364,0.14544235841840325,0.0141232835095216
trial_extrapolation,attn,paw_vz,none,50,-0.43584435629661156,1.7420011451213269,-0.011909931636191851,-3.782137146852715,9.863508634652419,-0.37879628111515407,-0.7699759223313992,2.166028049606462,-0.14590097568742905,575.6006134033203,244.33576888038192,536.3402099609375,334.8272514343262,184.46346361159684,313.93177795410156,0.03336530472749268,0.13220942576601216,0.0079777995812276
trial_extrapolation,mean,paw_vz,none,50,-0.3857527539996439,1.5020563591808067,-0.01055283959588445,-3.5755563826831875,9.101884062406628,-0.41232698159732184,-0.7253939630943134,1.9834212131594493,-0.16115708853518795,572.9979055786133,242.62532436606588,549.1326904296875,333.4513507080078,179.31894746107528,318.0940399169922,0.07829345828574738,0.12664660599959887,0.0677489666167145
trial_repeat,attn,paw_vz,none,5,0.0159541932662619,0.015644818224450404,0.0140806934036065,-1.1161515681218959,0.8516728208288272,-0.8198981490850621,-0.14146102136920963,0.052529847944759255,-0.1249517230384774,712.203515625,94.52350819287153,662.760009765625,342.41498413085935,56.65900294996068,324.9971923828125,0.1530037985409,0.06624332160889292,0.1384016315197943
trial_repeat,mean,paw_vz,none,5,0.01519740865725298,0.018906581470520753,0.0201673049635245,-1.3111329016263993,0.7769045886232672,-1.317825052791303,-0.1496896240763717,0.0688027139983196,-0.1396951637063926,712.774365234375,97.62007999501886,658.7757568359375,347.82171630859375,55.510770624244515,332.9903869628906,0.14933385788948106,0.07809672754322024,0.161339279685975
