task,pool,target,ablation,n_folds,r2_mean,r2_std,r2_median,mean_trial_r2_mean,mean_trial_r2_std,mean_trial_r2_median,median_trial_r2_mean,median_trial_r2_std,median_trial_r2_median,rmse_mean,rmse_std,rmse_median,mae_mean,mae_std,mae_median,pearson_mean,pearson_std,pearson_median
mouse_lomo,attn,paw_vz,a1,32,-0.03417721813960779,0.0367832243227026,-0.02301196346627325,-1.7575003713486426,5.352673983326096,-0.3844178243927753,-0.22279013683390003,0.1353228790161218,-0.19811835866485694,673.8053684234619,256.5994585844229,585.5640869140625,320.1330189704895,151.46583555748202,267.41156005859375,0.011070005341308363,0.16506326370587757,-0.0004852030044679501
mouse_lomo,mean,paw_vz,a1,32,-0.029624440289393518,0.03578041727471918,-0.0144640655825326,-1.3825752596267287,5.0427518026310665,-0.3808093814327284,-0.2074543235393819,0.139663362458139,-0.1615750872591858,672.7627506256104,257.8630820638154,581.0267944335938,318.18064403533936,151.90857319444993,268.3552703857422,0.016843577290282564,0.16308527263675682,0.0050946842643514005
session_loso,attn,paw_vz,a1,52,-0.03818697720498303,0.061468921383540286,-0.014769920835775299,-1.2806370184853124,5.58336314022473,-0.36944910961476696,-0.2642940964084798,0.2978591339550571,-0.18249443281851446,694.365342947153,256.8935575488305,603.4446716308594,332.6315959050105,150.38286672759,283.9324035644531,0.03228785222343106,0.16249632415934454,0.0123111465317495
session_loso,mean,paw_vz,a1,52,-0.031361979794311774,0.04863626979655118,-0.013343750588630049,-0.8330675358110476,2.861078156007718,-0.35666848315118,-0.22785633411800993,0.1961974194632358,-0.1542034101487843,692.5956092247596,257.7542208297757,598.6871643066406,330.0194451258733,152.33399008557694,284.27821350097656,0.0161449553709984,0.1414402559648143,0.01264267579116865
trial_extrapolation,attn,paw_vz,a1,50,-0.3274734593997748,1.289894110539775,-0.01260762348155515,-3.488460409280213,8.14608034538413,-0.3967069681440748,-0.6299843699097802,1.67099285619234,-0.15298450928978818,569.7445477294922,242.3199263329655,535.3194885253906,330.3469548034668,177.8457425983537,307.9156799316406,0.07009231060238662,0.14780362602527988,0.057956855070948804
trial_extrapolation,mean,paw_vz,a1,50,-0.34199578104371237,1.3168399164763664,-0.00802470397154905,-3.2815549840714153,7.845187861252018,-0.3871544238464329,-0.6413168032275784,1.6721564014368535,-0.1576628409975471,569.671527709961,242.754880645513,534.5593566894531,328.4253988647461,178.2275074637961,313.6311950683594,0.06335779475469037,0.1554177616013295,0.0338381404232489
trial_repeat,attn,paw_vz,a1,5,0.0030097578016238602,0.007741392249644874,0.0019690055261575,-0.48835028446792916,0.3244989569164218,-0.4636425400806719,-0.14040585401096797,0.07375255987775031,-0.1326745272779257,716.7414428710938,93.42915341038757,665.9054565429688,325.2248596191406,39.77629722812691,318.8697204589844,0.0682064638163972,0.05808423145778797,0.0461890723049132
trial_repeat,mean,paw_vz,a1,5,0.006010402871952361,0.0074690154363855924,0.0097462209658667,-0.40797389115804866,0.13211827434404347,-0.4108081595357693,-0.1374367519171665,0.09472568269020189,-0.1000826269976851,715.7088012695312,93.72467735322125,667.7614135742188,324.7938598632812,39.83824062519434,315.1946105957031,0.0869055258241595,0.06399303899103598,0.1058644280971694
