task,pool,target,r2,rmse,mae,pearson,n_bins,mean_trial_r2,median_trial_r2,n_trials
trial_holdout,mean,wheel_speed,0.4562268431612788,0.6909399032592773,0.4555354416370392,0.7147028715315896,1016,0.28082461208783144,0.6104408990563462,45
trial_holdout,mean,paw_speed,0.32760937707022353,495.8352355957031,293.50848388671875,0.5759118498294098,1016,0.1050778359655069,0.3004552333167615,45
trial_holdout,attn,wheel_speed,0.48581849024032464,0.6718767881393433,0.4416462779045105,0.7139969674158722,1016,0.3131429496636514,0.5937161128906944,45
trial_holdout,attn,paw_speed,0.28032840599410236,512.9721069335938,288.3252868652344,0.5330368769315063,1016,0.16363169986490883,0.3556155732930363,45
session_holdout,mean,wheel_speed,0.5653251489898873,0.6960852742195129,0.4604201912879944,0.7558100843080857,4694,0.49250282870701995,0.7155077747196539,237
session_holdout,mean,paw_speed,0.14783565677198196,366.3124694824219,246.9385986328125,0.5987339405530855,4694,-1.3840026153638176,0.0562026422621974,237
session_holdout,attn,wheel_speed,0.5581898537540311,0.7017751932144165,0.4324533939361572,0.7646013422330686,4694,0.520315229661064,0.6140713731962322,237
session_holdout,attn,paw_speed,0.2591475568831517,341.55126953125,213.62832641601562,0.6252535115717348,4694,-0.893433127368925,0.18298386248387855,237
mouse_holdout,mean,wheel_speed,0.23327069730988792,0.8335894346237183,0.536521852016449,0.5104220944796768,8433,0.2592287507706003,0.4142991932227367,371
mouse_holdout,mean,paw_speed,0.25502789303619355,502.452880859375,311.9303894042969,0.5058092606507788,8433,-8.339410768038164,0.33780490644485894,371
mouse_holdout,attn,wheel_speed,0.25978301565783823,0.8190504908561707,0.5394663214683533,0.5308001147188285,8433,0.24448362462259798,0.4389705028467906,371
mouse_holdout,attn,paw_speed,0.28184290602685924,493.3271789550781,313.0679931640625,0.5336297704427803,8433,-8.050758931302543,0.37283564207080977,371
