subject,dataset_mouse_id,lab,date,session_number,eid,n_probes,n_good_units,probes
CSHL045,sub-CSHL045,churchlandlab,2020-02-28,1,7939711b-8b4d-4251-b698-b97c1eaa846e,1,233,probe01
CSHL047,sub-CSHL047,churchlandlab,2020-01-21,1,b52182e7-39f6-4914-9717-136db589706e,2,159,"probe00, probe01"
CSHL047,sub-CSHL047,churchlandlab,2020-01-22,2,2d5f6d81-38c4-4bdc-ac3c-302ea4d5f46e,2,145,"probe00, probe01"
CSHL049,sub-CSHL049,churchlandlab,2020-01-08,1,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,2,183,"probe00, probe01"
CSHL049,sub-CSHL049,churchlandlab,2020-01-09,1,c99d53e6-c317-4c53-99ba-070b26673ac4,1,67,probe00
CSHL049,sub-CSHL049,churchlandlab,2020-01-10,2,d2918f52-8280-43c0-924b-029b2317e62c,1,218,probe00
CSHL049,sub-CSHL049,churchlandlab,2020-01-11,1,d839491f-55d8-4cbe-a298-7839208ba12b,2,113,"probe00, probe01"
CSHL051,sub-CSHL051,churchlandlab,2020-02-05,1,ecb5520d-1358-434c-95ec-93687ecd1396,2,133,"probe00, probe01"
CSHL052,sub-CSHL052,churchlandlab,2020-02-17,3,3663d82b-f197-4e8b-b299-7b803a155b84,2,179,"probe00, probe01"
CSHL052,sub-CSHL052,churchlandlab,2020-02-18,2,85dc2ebd-8aaf-46b0-9284-a197aee8b16f,1,146,probe00
CSHL052,sub-CSHL052,churchlandlab,2020-02-19,2,5386aba9-9b97-4557-abcd-abc2da66b863,1,59,probe00
CSHL052,sub-CSHL052,churchlandlab,2020-02-20,1,83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4,2,100,"probe00, probe01"
CSHL052,sub-CSHL052,churchlandlab,2020-02-21,1,4b00df29-3769-43be-bb40-128b1cba6d35,2,109,"probe00, probe01"
CSHL053,sub-CSHL053,churchlandlab,2020-01-29,1,12dc8b34-b18e-4cdd-90a9-da134a9be79c,1,32,probe00
CSHL053,sub-CSHL053,churchlandlab,2020-01-30,1,0deb75fb-9088-42d9-b744-012fb8fc4afb,1,75,probe00
CSHL053,sub-CSHL053,churchlandlab,2020-02-01,1,eef82e27-c20e-48da-b4b7-c443031649e3,1,146,probe00
CSHL053,sub-CSHL053,churchlandlab,2020-02-02,2,810b1e07-009e-4ebe-930a-915e4cd8ece4,2,411,"probe00, probe01"
CSHL054,sub-CSHL054,churchlandlab,2020-02-11,1,a71175be-d1fd-47a3-aa93-b830ea3634a1,2,119,"probe00, probe01"
CSHL055,sub-CSHL055,churchlandlab,2020-02-17,1,0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3,2,171,"probe00, probe01"
CSHL058,sub-CSHL058,churchlandlab,2020-07-07,1,f312aaec-3b6f-44b3-86b4-3a0c119c0438,2,183,"probe00, probe01"
CSHL058,sub-CSHL058,churchlandlab,2020-07-08,1,fb70ebf7-8175-42b0-9b7a-7c6e8612226e,2,267,"probe00, probe01"
CSHL058,sub-CSHL058,churchlandlab,2020-07-11,3,28741f91-c837-4147-939e-918d38d849f2,2,119,"probe00, probe01"
CSHL059,sub-CSHL059,churchlandlab,2020-03-03,1,d2f5a130-b981-4546-8858-c94ae1da75ff,2,163,"probe00, probe01"
CSHL059,sub-CSHL059,churchlandlab,2020-03-05,1,57b5ae8f-d446-4161-b439-b191c5e3e77b,2,100,"probe00, probe01"
CSHL059,sub-CSHL059,churchlandlab,2020-03-06,1,dda5fc59-f09a-4256-9fb5-66c67667a466,2,187,"probe00, probe01"
CSHL059,sub-CSHL059,churchlandlab,2020-03-07,2,d16a9a8d-5f42-4b49-ba58-1746f807fcc1,1,3,probe01
CSHL059,sub-CSHL059,churchlandlab,2020-03-08,1,37e96d0b-5b4b-4c6e-9b29-7edbdc94bbd0,2,193,"probe00, probe01"
CSHL060,sub-CSHL060,churchlandlab,2020-03-09,2,2e6e179c-fccc-4e8f-9448-ce5b6858a183,2,164,"probe00, probe01"
CSHL060,sub-CSHL060,churchlandlab,2020-03-11,4,1191f865-b10a-45c8-9c48-24a980fd9402,2,252,"probe00, probe01"
CSHL060,sub-CSHL060,churchlandlab,2020-03-12,1,f10efe41-0dc0-44d0-8f26-5ff68dca23e9,2,426,"probe00, probe01"
CSHL060,sub-CSHL060,churchlandlab,2020-03-14,3,6364ff7f-6471-415a-ab9e-632a12052690,1,123,probe01
CSHL060,sub-CSHL060,churchlandlab,2020-03-15,1,7be8fec4-406b-4e74-8548-d2885dcc3d5e,2,189,"probe00, probe01"
MFD_05,sub-MFD_05,churchlandlab_ucla,2023-08-15,1,7dd27c2f-9544-448d-918d-be0f9837b0e0,1,143,probe00
MFD_05,sub-MFD_05,churchlandlab_ucla,2023-08-16,1,ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,1,136,probe00
MFD_05,sub-MFD_05,churchlandlab_ucla,2023-08-17,1,004d8fd5-41e7-4f1b-a45b-0d4ad76fe446,1,202,probe00
MFD_06,sub-MFD_06,churchlandlab_ucla,2023-08-22,1,35eeb752-8f4f-4040-9714-ba0f5b7ccdfe,1,147,probe00
MFD_06,sub-MFD_06,churchlandlab_ucla,2023-08-23,1,97c1d08d-57b4-4595-8052-91eb84ebfd74,1,136,probe00
MFD_06,sub-MFD_06,churchlandlab_ucla,2023-08-24,1,a1782f4f-86b0-480c-a7f2-3d8f1ab482ab,1,113,probe00
MFD_06,sub-MFD_06,churchlandlab_ucla,2023-08-25,1,3f71aa98-08c6-4e79-b4c8-00eae4f03eff,1,147,probe00
MFD_07,sub-MFD_07,churchlandlab_ucla,2023-08-29,1,c46b8def-620d-4d70-9397-be5694255f73,1,294,probe00
MFD_07,sub-MFD_07,churchlandlab_ucla,2023-08-31,1,15b69921-d471-4ded-8814-2adad954bcd8,1,128,probe00
MFD_07,sub-MFD_07,churchlandlab_ucla,2023-09-01,1,11163613-a6c9-4975-9586-84dc00481547,1,138,probe00
MFD_08,sub-MFD_08,churchlandlab_ucla,2023-09-07,1,5ae68c54-2897-4d3a-8120-426150704385,1,134,probe00
MFD_08,sub-MFD_08,churchlandlab_ucla,2023-09-08,1,a7eba2cf-427f-4df9-879b-e53e962eae18,1,302,probe00
MFD_09,sub-MFD_09,churchlandlab_ucla,2023-10-19,1,ebce500b-c530-47de-8cb1-963c552703ea,1,291,probe00
UCLA005,sub-UCLA005,churchlandlab_ucla,2021-08-02,1,d57df551-6dcb-4242-9c72-b806cff5613a,1,53,probe00
UCLA006,sub-UCLA006,churchlandlab_ucla,2021-12-08,1,19e66dc9-bf9f-430b-9d6a-acfa85de6fb7,1,314,probe00
UCLA011,sub-UCLA011,churchlandlab_ucla,2021-07-20,1,824cf03d-4012-4ab1-b499-c83a92c5589e,1,62,probe00
UCLA012,sub-UCLA012,churchlandlab_ucla,2021-07-07,2,1f095590-6669-46c9-986b-ccaf0620c5e9,1,98,probe01
UCLA014,sub-UCLA014,churchlandlab_ucla,2021-08-18,1,03d9a098-07bf-4765-88b7-85f8d8f620cc,1,99,probe00
UCLA015,sub-UCLA015,churchlandlab_ucla,2022-03-31,1,0c828385-6dd6-4842-a702-c5075f5f5e81,1,133,probe00
UCLA017,sub-UCLA017,churchlandlab_ucla,2021-11-16,2,bb099402-fb31-4cfd-824e-1c97530a0875,1,257,probe00
UCLA030,sub-UCLA030,churchlandlab_ucla,2022-05-03,1,7f5df7eb-cf36-4589-a20a-14b535441142,1,343,probe00
UCLA033,sub-UCLA033,churchlandlab_ucla,2022-02-15,1,111c1762-7908-47e0-9f40-2f2ee55b6505,2,358,"probe00, probe01"
UCLA033,sub-UCLA033,churchlandlab_ucla,2022-02-17,1,5455a21c-1be7-4cae-ae8e-8853a8d5f55e,1,67,probe00
UCLA033,sub-UCLA033,churchlandlab_ucla,2022-02-24,1,32d27583-56aa-4510-bc03-669036edad20,1,159,probe00
UCLA034,sub-UCLA034,churchlandlab_ucla,2022-01-25,1,8a3a0197-b40a-449f-be55-c00b23253bbf,2,373,"probe00, probe01"
UCLA034,sub-UCLA034,churchlandlab_ucla,2022-01-26,1,ebc9392c-1ecb-4b4b-a545-4e3d70d23611,1,281,probe00
UCLA034,sub-UCLA034,churchlandlab_ucla,2022-01-27,1,19b44992-d527-4a12-8bda-aa11379cb08c,2,293,"probe00, probe01"
UCLA034,sub-UCLA034,churchlandlab_ucla,2022-01-28,1,3537d970-f515-4786-853f-23de525e110f,1,246,probe00
UCLA035,sub-UCLA035,churchlandlab_ucla,2022-02-18,1,6f36868f-5cc1-450c-82fa-6b9829ce0cfe,2,140,"probe00, probe01"
UCLA035,sub-UCLA035,churchlandlab_ucla,2022-02-24,1,f99ac31f-171b-4208-a55d-5644c0ad51c3,2,312,"probe00, probe01"
UCLA036,sub-UCLA036,churchlandlab_ucla,2022-03-09,1,e2b845a1-e313-4a08-bc61-a5f662ed295e,2,304,"probe00, probe01"
UCLA037,sub-UCLA037,churchlandlab_ucla,2022-02-02,1,2bdf206a-820f-402f-920a-9e86cd5388a4,2,376,"probe00, probe01"
UCLA037,sub-UCLA037,churchlandlab_ucla,2022-02-08,1,fa8ad50d-76f2-45fa-a52f-08fe3d942345,1,8,probe00
UCLA037,sub-UCLA037,churchlandlab_ucla,2022-02-09,1,8d316998-28c3-4265-b029-e2ca82375b2f,1,229,probe00
UCLA037,sub-UCLA037,churchlandlab_ucla,2022-02-10,1,bda2faf5-9563-4940-a80f-ce444259e47b,1,192,probe00
UCLA044,sub-UCLA044,churchlandlab_ucla,2022-04-14,1,91bac580-76ed-41ab-ac07-89051f8d7f6e,1,78,probe00
UCLA044,sub-UCLA044,churchlandlab_ucla,2022-04-22,1,23c75e0b-05d8-452e-8efb-a3687ab94079,1,123,probe00
