time_from_stim_s,dlc_state,lp_state
0.002869,still,still
0.019501,still,still
0.036133,still,still
0.052798,still,still
0.069429,still,still
0.086061,still,still
0.102726,still,still
0.119358,still,still
0.135989,still,still
0.152654,still,still
0.169286,still,still
0.185918,still,still
0.202549,still,still
0.219214,still,still
0.235846,still,still
0.252478,still,still
0.269143,still,still
0.285774,still,decoupled
0.302406,decoupled,decoupled
0.319071,decoupled,decoupled
0.335703,decoupled,decoupled
0.352334,decoupled,decoupled
0.368966,decoupled,decoupled
0.385631,coupled,coupled
0.402263,coupled,coupled
0.418894,coupled,coupled
0.435559,coupled,coupled
0.452191,coupled,coupled
0.468823,coupled,coupled
0.485488,coupled,decoupled
0.502119,coupled,decoupled
0.518751,coupled,decoupled
0.535416,coupled,decoupled
